Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr,Onar esk garbiak
2 310.24.342.00 2016 (927),927,KIROLDEGIKO ABONATUAK,2016,501000.0,457460.62
2 310.25.342.00 2016 (928),928,KIROLDEGIKO SARRERAK,2016,4000.0,5387.27
2 310.26.342.00 2016 (929),929,KIROLDEGIKO IGERITA IKASTAROAK,2016,89500.0,104310.06
2 310.27.342.00 2016 (930),930,KIROLDEGIKO SQUASH-AREN ERABILPENA,2016,100.0,167.4
2 310.28.342.00 2016 (931),931,KIROLDEGIKO IKASTARO EZBERDINAK,2016,167000.0,169036.61
2 310.29.342.00 2016 (932),932,KIROLDEG.PISTA ETA INSTALAZ.ERABILPENA,2016,5000.0,3385.25
2 310.30.342.00 2016 (933),933,KIROLDEGIKO FRONTOIAREN ERABILPENA,2016,100.0,1192.8
2 310.31.342.00 2016 (934),934,KIROLDEGIKO INSTALAZIO ALOKAPENA,2016,100.0,0.0
2 310.32.342.00 2016 (935),935,KIROLDEGIKO SAUNAK,2016,5000.0,4465.0
2 310.33.342.00 2016 (936),936,MASAJEA,2016,100.0,0.0
2 310.35.342.01 2016 (937),937,AISIALDI ETA JOLASER.IGERILEK.ABONATUAK,2016,100000.0,110554.84
2 310.36.342.01 2016 (938),938,AISIALDI ETA JOLASER.IGERILEK.SARRERAK,2016,95000.0,136950.01
2 310.37.342.00 2016 (939),939,KIROLDEGIKO KARNETA BERRIAK,2016,100.0,103.4
2 311.01.000.00 2016 (23),23,ESTABLEZIMENDUAK IREKITZEKO BAIMENA,2016,25000.0,18640.34
2 311.02.000.00 2016 (24),24,AUTOTAXIEN LIZENTZIA,2016,100.0,120.0
2 312.01.000.00 2016 (25),25,HIRIGINTZ BAIMENAK EMATEA,2016,50000.0,83251.86
2 312.02.000.00 2016 (26),26,ESPEDIENTE URBANISTIKOEN BIDERATZEA,2016,100.0,0.0
2 312.03.000.00 2016 (489),489,KARTOGRAFIA EGUNERATZEA,2016,1000.0,7348.6
2 321.03.000.00 2016 (28),28,"HESIAK, ALDAMIOAK, EDUKIONTZIAK",2016,6000.0,26570.91
2 321.04.000.00 2016 (29),29,MAHAI ETA ESERLEKUAK,2016,33000.0,25245.34
2 321.05.000.00 2016 (30),30,"SALMENTA POSTUAK, BARRAKA, ETAB.",2016,6000.0,5422.61
2 321.09.000.00 2016 (31),31,"LURZORUA,.HORNID-ZERB.ENPRESEN ALDE",2016,732273.0,586289.27
2 321.10.000.00 2016 (11),11,FERIA,2016,50000.0,54285.55
2 321.11.000.00 2016 (540),540,SARRERA KONTROLATZEKO TXARTELAK,2016,100.0,400.0
2 321.13.000.00 2016 (834),834,KUTXAZAIN AUTOMATIKOAK,2016,2400.0,2440.0
2 321.99.000.00 2016 (32),32,BESTE TASAK.JARDUERARENTZAT,2016,100.0,4137.74
2 322.01.000.00 2016 (33),33,IBILGAILUEN SARRERA ESPALOI GAINETIK,2016,28740.0,35300.55
2 340.01.000.00 2016 (34),34,"MATERIALE, MAKINERIA, TAULATUA ALOKATZEA",2016,100.0,0.0
2 340.02.334.00 2016 (940),940,IKUSKIZUNETARAKO SARRERAK,2016,9000.0,13637.2
2 340.03.323.30 2016 (941),941,HAUR ESKOLAKO JANGELA,2016,34378.0,42741.55
2 340.04.231.00 2016 (942),942,BERDINTASUNEKO IKASTAROAK,2016,1500.0,1884.0
2 380.01.000.00 2016 (36),36,ITZULERAK:ITXITAKO AURREKONTUETAKOAK,2016,6000.0,4539.19
2 381.01.000.00 2016 (596),596,ITZULERAK:PIBOTEETAKO KALTEAK,2016,5000.0,5607.73
2 382.01.000.00 2016 (597),597,ITZULERAK:BIDE PUBLIKOKO KALTEAK,2016,100.0,25724.91
2 391.01.000.00 2016 (37),37,TRAFIKOZKO ISUNAK,2016,83172.0,82237.22
2 391.02.000.00 2016 (38),38,HIRIGINTZAKO ISUNAK,2016,100.0,0.0
2 391.03.170.00 2016 (943),943,INGURUMENEKO ISUNAK,2016,100.0,8857.0
2 392.01.000.00 2016 (39),39,PREMIAMENDU-ERREKARGUA,2016,45000.0,60167.03
2 393.01.000.00 2016 (40),40,BERANDUTZA-INTERESAK,2016,7000.0,10616.45
2 396.01.000.00 2016 (41),41,KONPENTSAZIOA:CIA TELEFONICA,2016,40000.0,53369.06
2 396.02.000.00 2016 (120),120,KONPENTSAZIOA:EUSKALTEL,2016,22000.0,28352.72
2 399.01.000.00 2016 (42),42,BESTE HAINBAT SARRERA,2016,1000.0,177972.14
2 399.02.000.00 2016 (43),43,FOTOKOPIAK,2016,100.0,52.5
2 399.03.000.00 2016 (59),59,PARTIKULARREN IRAGARKIAK,2016,100.0,1920.68
2 399.05.323.30 2016 (944),944,HAUR ESKOLAKO JANGELA(IRAKASLEAK),2016,2500.0,4611.6
2 399.06.000.00 2016 (45),45,ARTXIBOKO ARGITALPENAK,2016,400.0,227.97
2 399.07.000.00 2016 (46),46,PARTIKULARREN KONTURAKO OBRAK,2016,100.0,0.0
2 399.12.162.10 2016 (945),945,BIRZIKLATZEAREN ONDORIOZKO SARRERAK,2016,330000.0,383217.38
2 399.13.000.00 2016 (988),988,JOSEFINA RUBIO-HERENTZIA,2016,0.0,32315.03
2 400.01.000.00 2016 (47),47,ITUNDU GABEKO ZERGAK,2016,20500.0,21309.42
2 410.01.432.00 2016 (993),993,DIRULAG.JAURLAR.TURISMOA,2016,0.0,6000.0
2 410.01.929.10 2016 (946),946,E.J.ren DIRUL:BAKE EPAITEGIA,2016,3600.0,3625.0
2 410.02.326.01 2016 (947),947,E.J.ren DIRUL:MUSIKA ESKOLA,2016,115000.0,124144.79
2 410.03.332.10 2016 (948),948,E.J.ren DIRUL:LIBURUTEGIA,2016,1000.0,9624.0
2 410.04.323.10 2016 (949),949,E.J.ren DIRUL:D.B.H.ko IKASTETXEAK,2016,1000.0,0.0
2 410.05.334.00 2016 (977),977,E.J.ren DIRUL: KULTURA,2016,0.0,2632.95
2 410.06.231.00 2016 (978),978,E.J.ren DIRUL:EMAKUNDE,2016,0.0,4559.01
2 410.09.920.10 2016 (986),986,E.J.: IVAPEN DIRULAG: FORMAKUNTZA,2016,0.0,3739.19
2 410.48.335.00 2016 (950),950,E.J.ren DIRUL:E.B.P.N.,2016,7000.0,6934.5
2 410.49.324.10 2016 (951),951,E.J.-HELDUEN LANBIDE PRESTAKUNTZA,2016,156000.0,156006.24
2 410.55.912.00 2016 (990),990,E.J.ren DIRUL: BIZIKIDETZA PROGRAMAK.,2016,0.0,3169.0
2 410.56.162.10 2016 (971),971,E.J.DIRUL: HONDAKINAK,2016,0.0,22749.79
2 410.56.170.00 2016 (973),973,E.J.DIRUL: INGURUGIROA,2016,0.0,83117.94
2 410.56.170.10 2016 (974),974,E.J.DIRUL: AGENDA21,2016,0.0,2452.48
2 410.57.231.03 2016 (989),989,DIRULAG.JAURLAR.GAZTERIA,2016,0.0,5940.0
2 410.66.150.10 2016 (972),972,E.J.ren DIRUL: HIRIGINTZA,2016,0.0,10842.66
2 411.01.335.10 2016 (952),952,HABEren DIRUL:EUSKALTEGIA,2016,200000.0,260310.86
2 411.08.241.02 2016 (953),953,LANBIDE:enplegua sustatzeko progr,2016,100.0,73359.38
2 411.09.241.01 2016 (954),954,LANBIDE:ikastaroak,2016,87600.0,0.0
2 420.01.000.00 2016 (55),55,ITUNDUTAKO TRIBUETAKO PARTAIDETZA,2016,12167855.0,11974540.8
2 420.02.335.00 2016 (955),955,FORU ALDUND.DIRUL:EUSKARA,2016,14000.0,18804.0
2 420.03.334.00 2016 (956),956,FORU ALDUND.DIRUL:KULTURA,2016,5000.0,12523.0
2 420.04.341.00 2016 (957),957,FORU ALDUND.DIRUL:KIROLAK,2016,1000.0,17856.97
2 420.05.912.00 2016 (983),983,ALDUND.DIRUL:BIZIKIDETZA,2016,0.0,10992.0
2 420.06.920.30 2016 (987),987,FORU ALDUNDIA:ARTXIBOA,2016,0.0,2650.0
2 420.07.162.10 2016 (969),969,FORU ALDUNDIA.DIRULAG:INGURUGIROA.,2016,0.0,3263.33
2 420.08.170.10 2016 (958),958,FORU.ALDUN.DIRUL:T.AGENDA21,2016,5000.0,5003.09
2 420.10.231.00 2016 (981),981,FORU ALDUND.DIRUL: BERDINTASUNA,2016,0.0,13840.0
2 420.11.924.00 2016 (982),982,FORU ALDUND.DIRUL:PARTE-HARTZEA,2016,0.0,5000.0
2 420.13.241.03 2016 (959),959,FORU ALDUND.DIRUL: ENPLEGU SUSTAPENA,2016,100.0,0.0
2 420.15.920.20 2016 (970),970,FORU ALDUNDIA.DIRULAG:INFORMATIKA.,2016,0.0,6997.91
2 420.16.153.70 2016 (980),980,ALDUNDIA.DIRULAG.LANDABIDEAK,2016,0.0,6352.6
2 420.18.231.03 2016 (985),985,FORU ALDUNDIA.DIRULAG: GAZTERIA,2016,0.0,14678.88
2 422.01.241.00 2016 (984),984,DIRULAG.BESTE.TOKI GARAPENA,2016,0.0,28407.5
2 481.01.341.00 2016 (960),960,KIROL FEDERAZIOEN DIRULAGUNTZA,2016,1000.0,3012.0
2 540.02.000.00 2016 (806),806,ALOKABIDE:etxebizitzen alokairua,2016,24000.0,42208.41
2 550.01.000.00 2016 (64),64,ATSEGINDEGIKO GARAJEEN KANONA,2016,7500.0,7470.6
2 550.02.000.00 2016 (764),764,BARATZA PARKEA.KANONA,2016,3700.0,4394.8
2 551.01.414.00 2016 (961),961,BASO APROBETXAMENDUAK,2016,100.0,59170.17
2 553.01.342.00 2016 (962),962,KIROLDEGIKO TABERNAREN USTIAKETA,2016,3300.0,3287.32
2 553.02.342.01 2016 (963),963,IGERILEKUKO TABERNAREN USTIAKETA,2016,1350.0,1350.0
2 560.01.000.00 2016 (61),61,GORDAILUEN INTERESEAK,2016,20000.0,20810.59
2 590.01.000.00 2016 (780),780,BESTELAKO ONDARE SARRERAK.,2016,100.0,0.0
2 650.01.151.20 2016 (991),991,Hiritartze kuotak-Galarreta,2016,0.0,332155.11
2 651.01.000.00 2016 (357),357,HIRIGINTZAKO APROBETXAMENDUAK,2016,1056000.0,1047383.56
2 652.01.000.00 2016 (490),490,HIRIGINTZAKO BESTE DIRU SARRERAK,2016,1000.0,90434.64
2 710.01.332.10 2016 (964),964,E.J.-BIBLIOGRAFI FONDOAK,2016,8000.0,6538.0
2 710.02.323.10 2016 (979),979,E.J.DIRUL.IKASTETXEAK-INBERTSIOAK,2016,0.0,84906.05
2 720.99.150.10 2016 (975),975,ALDUNDIA.INBERTS. DIRULAG. HIRI EKIMENAK,2016,0.0,13388.95
2 822.01.000.00 2016 (992),992,MAILEGU ITZULKETA-EREÑOTZU,2016,0.0,75000.0
2 823.01.000.00 2016 (65),65,PERSONAL AURRERAKINAK,2016,100.0,2000.0
2 933.01.000.00 2016 (476),476,FINANTZA ENTITATEEN MAILEGUAK,2016,525000.0,525000.0
