#Subconcepto eco.,Descripción,Año,Programa,Departamento,Pto inicial,Aumentos,Disminuciones,Pto definitivo,Dchos rec. brutos,Dchos Anulados,Dchos rec. netos
31001,Recogida domiciliaria de basuras o residuos sólidos urbanos,2016,33720,06,6000.0,0.0,0.0,6000.0,12264.55,0.0,12264.55
31011,Enseñanzas especiales,2016,33720,06,47000.0,0.0,0.0,47000.0,53868.25,561.55,53306.7
42001,Participación en tributos concertados,2016,33720,06,10000.0,0.0,0.0,10000.0,14678.88,0.0,14678.88
41003,Administracion general,2016,23000,07,50000.0,0.0,0.0,50000.0,45802.0,0.0,45802.0
31015,Ayuda a domicilio y otros servicios sociales,2016,23100,07,600.0,0.0,0.0,600.0,600.0,0.0,600.0
41001,Administración general,2016,23100,07,378000.0,0.0,0.0,378000.0,413189.0,0.0,413189.0
31012,Asistencias y estancias en hogares y residencias,2016,23110,07,50000.0,0.0,0.0,50000.0,49443.44,71.73,49371.71
42005,Del territorio histórico,2016,23110,07,795000.0,0.0,0.0,795000.0,866303.77,0.0,866303.77
42002,Del territorio histórico,2016,23190,07,0.0,0.0,0.0,0.0,191398.0,0.0,191398.0
42002,Del territorio histórico,2016,33310,08,15000.0,0.0,0.0,15000.0,15000.0,425.0,14575.0
31011,Enseñanzas especiales,2016,33400,08,25000.0,0.0,0.0,25000.0,35097.76,909.94,34187.82
31016,Servicios culturales,2016,33400,08,15000.0,0.0,0.0,15000.0,16651.58,0.0,16651.58
34004,Servicios generales,2016,33400,08,1000.0,0.0,0.0,1000.0,1142.4,0.0,1142.4
41001,Administración general,2016,33400,08,0.0,0.0,0.0,0.0,12952.0,0.0,12952.0
42001,Participación en tributos concertados,2016,33400,08,6200.0,0.0,0.0,6200.0,5537.2,0.0,5537.2
42003,,2016,33400,08,0.0,0.0,0.0,0.0,3000.0,0.0,3000.0
47101,Otras empresas,2016,33400,08,0.0,0.0,0.0,0.0,500.0,0.0,500.0
48101,Instituciones sin fines de lucro,2016,33400,08,0.0,0.0,0.0,0.0,9300.0,0.0,9300.0
32101,"Tendidos, tuberias y galerías para conducción de ener. elec. o cualquier fl",2016,33800,08,36000.0,0.0,0.0,36000.0,46525.09,0.0,46525.09
31002,Serv.alcantarillado y % canon financ. infraest. hidraúlic.,2016,16000,09,876000.0,0.0,0.0,876000.0,960845.52,4450.79,956394.73
31009,Suministro municipal de agua y % canon financ. infraest. hidráulic.,2016,16100,09,2000000.0,0.0,0.0,2000000.0,2020527.3,13871.06,2006656.24
31001,Recogida domiciliaria de basuras o residuos sólidos urbanos,2016,16220,09,1960000.0,0.0,0.0,1960000.0,1982264.88,3710.65,1978554.23
31103,Lonjas y mercados,2016,93300,09,87300.0,0.0,0.0,87300.0,90035.96,1290.82,88745.14
32101,"Tendidos, tuberias y galerías para conducción de ener. elec. o cualquier fl",2016,93300,09,730000.0,0.0,0.0,730000.0,654848.84,9077.27,645771.57
34012,Servicios generales,2016,93300,09,22000.0,0.0,0.0,22000.0,18161.17,24.75,18136.42
42001,Participación en tributos concertados,2016,33510,10,10000.0,0.0,0.0,10000.0,14437.2,0.0,14437.2
31001,Recogida domiciliaria de basuras o residuos sólidos urbanos,2016,33520,10,65000.0,0.0,0.0,65000.0,66892.5,1848.0,65044.5
41001,Administración general,2016,33520,10,395000.0,0.0,0.0,395000.0,378352.09,0.0,378352.09
42001,Participación en tributos concertados,2016,23190,11,0.0,0.0,0.0,0.0,231130.89,0.0,231130.89
31198,Retirada animales via publica,2016,00000,12,200.0,0.0,0.0,200.0,1120.4,0.0,1120.4
39101,Multas,2016,00000,12,340000.0,0.0,0.0,340000.0,280224.0,9705.36,270518.64
39102,Multas,2016,00000,12,12800.0,0.0,0.0,12800.0,14685.26,55.0,14630.26
77101,Otras empresas,2016,00000,12,25000.0,0.0,0.0,25000.0,25000.0,0.0,25000.0
31102,Otorgamiento de licencias y autorizaciones de autotaxis,2016,13000,12,2850.0,0.0,0.0,2850.0,0.0,0.0,0.0
32201,Entrada de vehíc. por aceras y reservas de la vía públ. para aparcam.,2016,13200,12,230000.0,0.0,0.0,230000.0,212137.58,2916.06,209221.52
32006,Servicios generales,2016,13310,12,650000.0,0.0,0.0,650000.0,736265.79,0.0,736265.79
31005,Recogida y retirada de vehículos de la vía pública,2016,13320,12,105000.0,0.0,0.0,105000.0,105903.54,266.56,105636.98
41201,Entes públicos,2016,44110,12,18000.0,0.0,0.0,18000.0,14001.0,0.0,14001.0
41201,Entes públicos,2016,23150,13,4000.0,0.0,0.0,4000.0,0.0,0.0,0.0
42101,Mancomunidades y consorcios,2016,23150,13,12000.0,0.0,0.0,12000.0,14640.0,0.0,14640.0
42099,Otras transferencias,2016,32701,14,15000.0,0.0,0.0,15000.0,6426.81,0.0,6426.81
31010,Instalaciones deportivas municipales,2016,34000,15,42000.0,0.0,0.0,42000.0,9120.0,0.0,9120.0
32199,Otras tasas que beneficien o afecten a la actividad económica,2016,34000,15,1800.0,0.0,0.0,1800.0,86164.59,0.0,86164.59
41001,Administración general,2016,34000,15,0.0,0.0,0.0,0.0,14495.9,0.0,14495.9
42001,Participación en tributos concertados,2016,34000,15,35000.0,0.0,0.0,35000.0,32157.03,0.0,32157.03
54001,Producto del arrendamiento de fincas urbanas,2016,34000,15,154400.0,0.0,0.0,154400.0,134616.68,0.0,134616.68
38001,De presupuestos cerrados,2016,00000,17,3000.0,0.0,0.0,3000.0,10644.99,0.0,10644.99
54001,Producto del arrendamiento de fincas urbanas,2016,93300,17,28944.0,0.0,0.0,28944.0,28944.0,0.0,28944.0
55001,Concesiones administrativas,2016,93300,17,300000.0,0.0,0.0,300000.0,242744.85,0.0,242744.85
55301,Explotaciones,2016,93300,17,30000.0,0.0,0.0,30000.0,32615.39,0.0,32615.39
71001,Administración general,2016,33210,18,17000.0,0.0,0.0,17000.0,28057.31,13693.0,14364.31
31113,Sobre actividades económicas,2016,33220,18,5911.0,0.0,0.0,5911.0,5750.29,0.0,5750.29
71002,De la administracion general,2016,33220,18,0.0,17954.0,0.0,17954.0,17954.0,0.0,17954.0
72002,Del territorio histórico,2016,33220,18,0.0,5759.0,0.0,5759.0,5759.0,0.0,5759.0
72001,Plan foral de obras y servicios,2016,00000,19,0.0,0.0,0.0,0.0,5680.86,0.0,5680.86
