Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),B. betiko aurrek.,Eskubide onartu garbiak,Bilketa likidoa,Kobratzeko,Itzulketak
2 322.01.000.00 2020,33.0,IBILGAILUEN SARRERA ESPALOI GAINETIK,,33062.0,33062.0,35369.35,34198.6,1170.75,0.0
2 340.02.334.00 2020,940.0,IKUSKIZUNETARAKO SARRERAK,,20365.0,20365.0,10053.5,10053.5,0.0,0.0
2 340.03.323.30 2020,941.0,HAUR ESKOLAKO JANGELA,,47687.0,47687.0,21877.28,21877.28,0.0,355.05
2 340.04.231.00 2020,942.0,BERDINTASUNEKO IKASTAROAK,,1775.0,1775.0,1779.5,1779.5,0.0,0.0
2 380.01.000.00 2020,36.0,ITZULERAK:ITXITAKO AURREKONTUETAKOAK,,5000.0,5000.0,1742.53,1742.53,0.0,0.0
2 381.01.000.00 2020,596.0,ITZULERAK:PIBOTEETAKO KALTEAK,,5000.0,5000.0,992.59,0.0,992.59,0.0
2 382.01.000.00 2020,597.0,ITZULERAK:BIDE PUBLIKOKO KALTEAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 391.01.000.00 2020,37.0,TRAFIKOZKO ISUNAK,,126194.0,126194.0,125979.57,70988.3,54991.27,234.0
2 391.02.000.00 2020,38.0,HIRIGINTZAKO ISUNAK,,100.0,100.0,0.0,0.0,0.0,0.0
2 391.03.000.00 2020,943.0,INGURUMENEKO ISUNAK,,5000.0,5000.0,20211.1,14611.1,5600.0,0.0
2 392.01.000.00 2020,39.0,PREMIAMENDU-ERREKARGUA,,58907.0,58907.0,44657.93,44657.93,0.0,5456.4
2 393.01.000.00 2020,40.0,BERANDUTZA-INTERESAK,,11530.0,11530.0,9208.69,9208.69,0.0,258.54
2 396.01.000.00 2020,41.0,KONPENTSAZIOA:CIA TELEFONICA,,51960.0,51960.0,51814.51,51814.51,0.0,42.41
2 396.02.000.00 2020,120.0,KONPENTSAZIOA:EUSKALTEL,,22630.0,22630.0,22413.24,22413.24,0.0,157.16
2 399.01.000.00 2020,42.0,BESTE HAINBAT SARRERA,,1000.0,1000.0,37157.92,36332.62,825.3,355.5
2 399.01.241.00 2020,1163.0,ITUROLA-COWORKING GUNEA,,0.0,0.0,3270.0,3270.0,0.0,30.0
2 399.02.000.00 2020,43.0,FOTOKOPIAK,,100.0,100.0,335.0,335.0,0.0,0.0
2 399.03.000.00 2020,59.0,PARTIKULARREN IRAGARKIAK,,1000.0,1000.0,1387.01,1387.01,0.0,0.0
2 399.05.323.30 2020,944.0,HAUR ESKOLAKO JANGELA(IRAKASLEAK),,7568.0,7568.0,4617.29,4617.29,0.0,0.0
2 399.06.000.00 2020,45.0,ARTXIBOKO ARGITALPENAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.12.162.10 2020,945.0,BIRZIKLATZEAREN ONDORIOZKO SARRERAK,,429385.0,429385.0,400754.93,396783.7,3971.23,186.44
2 399.13.000.00 2020,1164.0,JOSEFINA RUBIO-HERENTZIA,,0.0,0.0,376250.0,376250.0,0.0,0.0
2 400.01.000.00 2020,47.0,ITUNDU GABEKO ZERGAK,,25800.0,25800.0,26958.9,26958.9,0.0,0.0
2 410.01.929.10 2020,946.0,DIRULAG.JAURLARITZA.BAKE EPAITEGIA,,4625.0,4625.0,4625.0,0.0,4625.0,0.0
2 410.02.326.01 2020,947.0,DIRULAG.JAURLARITZA.MUSIKA ESKOLA,,125000.0,125000.0,198685.0,198685.0,0.0,0.0
2 410.03.332.10 2020,948.0,DIRULAG.JAURLARITZA.LIBURUTEGIA,,2825.0,2825.0,14655.0,14655.0,0.0,0.0
2 410.04.323.10 2020,1167.0,DIRULAG.JAURLARITZA.IKASTETXEAK,,0.0,0.0,0.0,0.0,0.0,0.0
2 410.05.334.00 2020,1067.0,DIRULAG.JAURLARITZA. KULTURA,,1000.0,1000.0,5557.0,4167.75,1389.25,0.0
2 410.48.335.00 2020,950.0,DIRULAG.JAURLARITZA.EUSKARA-EBPN,,4000.0,4000.0,0.0,0.0,0.0,0.0
2 410.49.324.10 2020,951.0,DIRULAG.JAURLARITZA-HELDUEN LANBIDE PRES,,165555.0,165555.0,168866.16,168866.16,0.0,0.0
2 410.50.920.00 2020,1173.0,DIRULAG.JAURLARITZA.HAUTESKUNDEAK,,0.0,0.0,2982.86,2982.86,0.0,0.0
2 410.55.912.00 2020,1174.0,DIRULAG.JAURLARITZA.BIZIKIDETZA PROGR.,,0.0,0.0,4107.56,2053.78,2053.78,0.0
2 411.01.335.10 2020,952.0,DIRULAG.HABE.EUSKALTEGIA.,,235615.0,235615.0,286868.51,286868.51,0.0,0.0
2 411.07.241.02 2020,1159.0,LANBIDE:Toki Ekintzak,,72780.0,72780.0,26206.61,0.0,26206.61,0.0
2 411.08.241.02 2020,953.0,LANBIDE-BETERRI eskualde programak.,,70000.0,70000.0,0.0,0.0,0.0,0.0
2 411.09.241.01 2020,954.0,LANBIDE:ikastaroak,,100.0,100.0,10000.0,10000.0,0.0,0.0
2 420.01.000.00 2020,55.0,UFFF-ITUNDUTAKO TRIBUTUETAKO PARTAIDETZA,,14675578.0,14675578.0,13190644.68,12347473.44,843171.24,0.0
2 420.02.172.40 2020,1170.0,DIRULAG.ALDUNDIA.ENERGIA PLANA,,0.0,0.0,457.14,0.0,457.14,0.0
2 420.02.335.00 2020,955.0,DIRULAG.ALDUNDIA.EUSKARA,,4990.0,4990.0,3648.0,2413.0,1235.0,0.0
2 420.03.334.00 2020,956.0,DIRULAG.ALDUNDIA.KULTURA,,15556.0,15556.0,22172.0,13303.2,8868.8,0.0
2 420.04.341.00 2020,957.0,DIRULAG.ALDUNDIA.KIROLAK,,25387.0,25387.0,23113.73,23113.73,0.0,0.0
2 420.05.912.00 2020,1168.0,DIRULAG.ALDUNDIA.BIZIKIDETZA,,0.0,0.0,13499.28,10198.48,3300.8,0.0
2 420.06.920.30 2020,1176.0,DIRULAG.ALDUNDIA.ARTXIBOA,,0.0,0.0,2335.9,2335.9,0.0,0.0
2 420.07.162.10 2020,1175.0,DIRULAG.ALDUNDIA.HONDAKINAK,,0.0,0.0,27174.3,22323.3,4851.0,0.0
2 420.08.172.30 2020,958.0,DIRULAG.ALDUNDIA.AGENDA21,,2714.0,2714.0,0.0,0.0,0.0,0.0
2 420.09.153.70 2020,1166.0,DIRULAG-ALDUNDI-LANDABIDEAK,,0.0,0.0,16174.83,16174.83,0.0,0.0
2 420.10.231.00 2020,1169.0,DIRULAG.ALDUNDIA.BERDINTASUNA,,0.0,0.0,27927.99,12902.24,15025.75,0.0
2 420.12.241.00 2020,1172.0,DIRULAG.ALDUNDIA.MERKATARITZA ETA HOST.,,51761.0,51761.0,51761.0,51761.0,0.0,0.0
2 420.13.241.03 2020,959.0,DIRULAG.ALDUNDIA.ENPLEGU SUSTAPENA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.18.231.03 2020,1079.0,FORU ALDUNDIA.DIRULAG: GAZTERIA,,9000.0,9000.0,10601.68,10601.68,0.0,0.0
2 422.02.241.00 2020,1071.0,ANDOAINGO UDALA-BETERRI-TOKIKO GARAPENA,,56781.0,56781.0,94501.0,22701.0,71800.0,0.0
2 481.01.326.01 2020,1177.0,DIRULAG.EH MUSIKA ESKOLEN ELKARTEA,,0.0,0.0,425.0,425.0,0.0,0.0
2 481.01.341.00 2020,960.0,DIRULAG.KIROL FEDERAZIOAK.,,2570.0,2570.0,477.0,477.0,0.0,0.0
2 540.02.000.00 2020,806.0,ALOKABIDE:etxebizitzen alokairua,,42000.0,42000.0,68902.72,68902.72,0.0,0.0
2 550.01.000.00 2020,64.0,ATSEGINDEGIKO GARAJEEN KANONA,,7500.0,7500.0,7822.11,7822.11,0.0,0.0
2 550.02.000.00 2020,764.0,BARATZA PARKEA.KANONA,,3000.0,3000.0,3660.0,3660.0,0.0,0.0
2 551.01.414.00 2020,961.0,BASO APROBETXAMENDUAK,,100.0,100.0,0.0,0.0,0.0,0.0
2 553.01.342.00 2020,962.0,KIROLDEGIKO TABERNAREN USTIAKETA,,3300.0,3300.0,663.05,0.0,663.05,0.0
2 553.02.342.01 2020,963.0,IGERILEKUKO TABERNAREN USTIAKETA,,1800.0,1800.0,0.0,0.0,0.0,0.0
2 560.01.000.00 2020,61.0,GORDAILUEN INTERESEAK,,6000.0,6000.0,4088.67,4088.67,0.0,0.0
2 590.01.000.00 2020,780.0,BESTELAKO ONDARE SARRERAK.,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 650.01.151.20 2020,1171.0,GALARRETA SIST. OROKOR-hiritartze kuotak,,0.0,0.0,7035.22,7035.22,0.0,0.0
2 651.01.000.00 2020,357.0,HIRIGINTZAKO APROBETXAMENDUAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 652.01.000.00 2020,490.0,HIRIGINTZAKO BESTE DIRU SARRERAK,,1000.0,1000.0,189343.71,143343.71,46000.0,10698.5
2 710.01.332.10 2020,964.0,DIRULAG.JAURLARITZA-LIBURU EROSKETAK,,7500.0,7500.0,0.0,0.0,0.0,0.0
2 710.02.323.10 2020,1069.0,DIRULAG.JAURLARITZA-IKASTETXEAK-INBERTSI,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 710.03.151.10 2020,1165.0,DIRULAG.JAURLARITZA- HIRIGINTZA,,0.0,0.0,86140.41,0.0,86140.41,0.0
2 823.01.000.00 2020,65.0,PERSONAL AURRERAKINAK,,10000.0,10000.0,2000.0,2000.0,0.0,0.0
2 870.01.000.00 2020,1161.0,GASTU OROKORRETAKO DIRUZAINTZA GERAKINA,,10171412.23,10171412.23,0.0,0.0,0.0,0.0
2 870.02.000.00 2020,1162.0,FINANT. LOTUA GAST. DIRUZAINTZA GERAKINA,,772174.68,772174.68,0.0,0.0,0.0,0.0
2 933.01.000.00 2020,476.0,FINANTZA ENTITATEEN MAILEGUAK,,0.0,0.0,0.0,0.0,0.0,0.0
