Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),Ppto. Definitivo,Derechos reconocidos Netos,Recaudación Líquida,Pendiente de Cobro,Devoluciones
2 391.01.000.00 2021,37.0,Multas trafico,,122000.0,122000.0,0.0,0.0,0.0,0.0
2 391.02.000.00 2021,38.0,Sanciones urbanismo,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 391.03.000.00 2021,943.0,Sanciones Medio Ambiente,,10000.0,10000.0,0.0,0.0,0.0,0.0
2 392.01.000.00 2021,39.0,Recargo apremio,,50000.0,50000.0,-200.0,-200.0,0.0,200.0
2 393.01.000.00 2021,40.0,Intereses demora,,10000.0,10000.0,0.0,0.0,0.0,0.0
2 396.01.000.00 2021,41.0,Compensacion: Telefonica,,51800.0,51800.0,0.0,0.0,0.0,0.0
2 396.02.000.00 2021,120.0,Compensacion: Euskaltel,,22000.0,22000.0,0.0,0.0,0.0,0.0
2 399.01.000.00 2021,42.0,otros ingresos,,1000.0,1000.0,3555.12,3555.12,0.0,0.0
2 399.01.241.00 2021,1163.0,Iturola-coworking,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.02.000.00 2021,43.0,Fotocopias,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.03.000.00 2021,59.0,Anuncios-Particulares,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.05.323.30 2021,944.0,Comedor-Haur Eskola-Profesorado,,5800.0,5800.0,0.0,0.0,0.0,0.0
2 399.06.000.00 2021,45.0,Artxibo: publicaciones,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.12.162.10 2021,945.0,Reciclaje-ingresos,,321600.0,321600.0,0.0,0.0,0.0,0.0
2 400.01.000.00 2021,47.0,Impto. no concertados,,26000.0,26000.0,4226.12,4226.12,0.0,978.76
2 410.01.929.10 2021,946.0,Subv.Juzgado,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 410.02.326.01 2021,947.0,Subv.Musika Eskola,,161000.0,161000.0,0.0,0.0,0.0,0.0
2 410.03.332.10 2021,948.0,Subv.Biblioteca,,10500.0,10500.0,0.0,0.0,0.0,0.0
2 410.04.323.10 2021,1167.0,Subv.Obras.Centros Escolares,,1000.0,1000.0,35310.02,17655.01,17655.01,0.0
2 410.48.335.00 2021,950.0,Subv.Plan Euskera.,,4000.0,4000.0,0.0,0.0,0.0,0.0
2 410.49.324.10 2021,951.0,Subv.Formacion Adultos,,171000.0,171000.0,0.0,0.0,0.0,0.0
2 410.56.170.10 2021,1205.0,DIRULAG.JAURLARITZA.AGENDA 2030,,0.0,0.0,6250.0,2500.0,3750.0,0.0
2 411.01.335.10 2021,952.0,Subv.Euskaltegia,,256000.0,256000.0,218505.74,95758.57,122747.17,0.0
2 411.07.241.02 2021,1159.0,Subv.Lanbide,,173700.0,173700.0,174794.26,96136.84,78657.42,0.0
2 411.08.241.02 2021,953.0,Lanbide-Andoain Udala,,72500.0,72500.0,73584.41,73584.41,0.0,0.0
2 411.09.241.01 2021,954.0,Subv.Lanbide-Cursos,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.01.000.00 2021,55.0,Impuestos concertados-Fondo foral,,13662000.0,13662000.0,0.0,0.0,0.0,0.0
2 420.02.335.00 2021,955.0,Subv.Euskara,,4000.0,4000.0,0.0,0.0,0.0,0.0
2 420.03.334.00 2021,956.0,Subv.Cultura,,15500.0,15500.0,0.0,0.0,0.0,0.0
2 420.04.341.00 2021,957.0,Subv.Deportes,,20500.0,20500.0,0.0,0.0,0.0,0.0
2 420.08.172.30 2021,958.0,Subv.Agenda21,,2700.0,2700.0,0.0,0.0,0.0,0.0
2 420.13.241.03 2021,959.0,Subv.Diputacion.Programas empleo,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.18.231.03 2021,1079.0,FORU ALDUNDIA.DIRULAG: GAZTERIA,,9000.0,9000.0,0.0,0.0,0.0,0.0
2 422.01.432.00 2021,1202.0,BETERRI-BURUNTZA,,0.0,0.0,0.0,0.0,0.0,0.0
2 422.02.241.00 2021,1071.0,ANDOAINGO UDALA-BETERRI,,47500.0,47500.0,0.0,0.0,0.0,0.0
2 481.01.341.00 2021,960.0,Subv.Federacion deportes,,2500.0,2500.0,0.0,0.0,0.0,0.0
2 540.02.000.00 2021,806.0,Alokabide. Alquiler viviendas,,42000.0,42000.0,0.0,0.0,0.0,0.0
2 550.01.000.00 2021,64.0,Canon Garajes.Atsegindegi,,8000.0,8000.0,7652.61,0.0,7652.61,0.0
2 550.02.000.00 2021,764.0,Canon.Huertas.,,3000.0,3000.0,0.0,0.0,0.0,0.0
2 551.01.414.00 2021,961.0,Aprovechamiento forestal,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 553.01.342.00 2021,962.0,Canon: Bar-Kiroldegia,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 553.02.342.01 2021,963.0,Canon: Bar-Piscinas exteriores,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 560.01.000.00 2021,61.0,Intereses depositos,,5000.0,5000.0,0.0,0.0,0.0,0.0
2 590.01.000.00 2021,780.0,Otros ingresos patrimonio,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 651.01.000.00 2021,357.0,Aprovechamientos urbanisticos,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 652.01.000.00 2021,490.0,Otros ingresos-urbanismo,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 823.01.000.00 2021,65.0,Anticipos personal,,10000.0,10000.0,0.0,0.0,0.0,0.0
2 870.01.000.00 2021,1203.0,REMANENTE TESORERÍA GASTOS GENERALES,,0.0,0.0,0.0,0.0,0.0,0.0
2 870.02.000.00 2021,1204.0,REMANENTE TESORERÍA GASTOS AFECTADOS,,0.0,0.0,0.0,0.0,0.0,0.0
2 933.01.000.00 2021,476.0,Prestamos largo plazo,,0.0,0.0,0.0,0.0,0.0,0.0
