Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),B. betiko aurrek.,Eskubide onartu garbiak,Bilketa likidoa,Kobratzeko,Itzulketak
2 381.01.000.00 2019,596.0,ITZULERAK:PIBOTEETAKO KALTEAK,,5000.0,5000.0,6477.93,2936.38,3541.55,0.0
2 382.01.000.00 2019,597.0,ITZULERAK:BIDE PUBLIKOKO KALTEAK,,5000.0,5000.0,20681.74,0.0,20681.74,0.0
2 383.01.000.00 2019,1117.0,ITZULERAK-SAMARKO MANKOMUNIT,,0.0,0.0,66782.29,66782.29,0.0,0.0
2 391.01.000.00 2019,37.0,TRAFIKOZKO ISUNAK,,115391.0,115391.0,130956.64,82303.11,48653.53,1555.69
2 391.02.000.00 2019,38.0,HIRIGINTZAKO ISUNAK,,100.0,100.0,0.0,0.0,0.0,0.0
2 391.03.000.00 2019,943.0,INGURUMENEKO ISUNAK,,5000.0,5000.0,27490.1,20820.72,6669.38,240.0
2 392.01.000.00 2019,39.0,PREMIAMENDU-ERREKARGUA,,62842.0,62842.0,53537.16,53537.16,0.0,1715.88
2 393.01.000.00 2019,40.0,BERANDUTZA-INTERESAK,,9995.0,9995.0,12363.46,12363.46,0.0,89.15
2 396.01.000.00 2019,41.0,KONPENTSAZIOA:CIA TELEFONICA,,51868.0,51868.0,51930.15,51930.15,0.0,0.0
2 396.02.000.00 2019,120.0,KONPENTSAZIOA:EUSKALTEL,,22772.0,22772.0,16933.24,16933.24,0.0,5794.32
2 399.01.000.00 2019,42.0,BESTE HAINBAT SARRERA,,1000.0,1000.0,47201.89,47201.89,0.0,318.0
2 399.01.241.00 2019,1126.0,ITUROLA-COWORKING GUNEA,,0.0,0.0,2490.0,2490.0,0.0,0.0
2 399.02.000.00 2019,43.0,FOTOKOPIAK,,100.0,100.0,89.15,89.15,0.0,0.0
2 399.03.000.00 2019,59.0,PARTIKULARREN IRAGARKIAK,,1000.0,1000.0,1142.0,1069.28,72.72,0.0
2 399.05.323.30 2019,944.0,HAUR ESKOLAKO JANGELA(IRAKASLEAK),,5685.0,5685.0,7052.18,7052.18,0.0,0.0
2 399.06.000.00 2019,45.0,ARTXIBOKO ARGITALPENAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 399.12.162.10 2019,945.0,BIRZIKLATZEAREN ONDORIOZKO SARRERAK,,443050.0,443050.0,380821.0,352339.55,28481.45,0.0
2 399.13.000.00 2019,1127.0,JOSEFINA RUBIO-HERENTZIA,,0.0,0.0,756.49,756.49,0.0,0.0
2 399.15.342.02 2019,1122.0,SARRERAK KALTEORDAINAK ZUBIPE,,6851.0,6851.0,6851.01,6851.01,0.0,0.0
2 399.18.342.03 2019,1123.0,SARRERAK KALTEORDAINAK LANDARE,,18380.0,18380.0,18379.69,18379.69,0.0,0.0
2 400.01.000.00 2019,47.0,ITUNDU GABEKO ZERGAK,,23250.0,23250.0,25010.07,24978.36,31.71,0.0
2 400.02.231.00 2019,1111.0,DIRULAG.ESTATUA-Genero indarkeria,,4290.0,4290.0,8579.08,8579.08,0.0,0.0
2 410.01.929.10 2019,946.0,DIRULAG.JAURLARITZA.BAKE EPAITEGIA,,4625.0,4625.0,4625.0,4625.0,0.0,0.0
2 410.02.326.01 2019,947.0,DIRULAG.JAURLARITZA.MUSIKA ESKOLA,,125000.0,125000.0,125000.0,0.0,125000.0,0.0
2 410.03.332.10 2019,948.0,DIRULAG.JAURLARITZA.LIBURUTEGIA,,10444.0,10444.0,21782.0,21782.0,0.0,0.0
2 410.04.323.10 2019,1120.0,DIRULAG.JAURLARITZA.IKASTETXEAK,,0.0,0.0,45795.84,45795.84,0.0,0.0
2 410.05.334.00 2019,1067.0,DIRULAG.JAURLARITZA. KULTURA,,100.0,100.0,7972.0,5979.0,1993.0,0.0
2 410.09.920.10 2019,1113.0,E.J.: IVAPEN DIRULAG: FORMAKUNTZA,,0.0,0.0,-171.25,-1478.75,1307.5,2786.25
2 410.48.335.00 2019,950.0,DIRULAG.JAURLARITZA.EUSKARA-EBPN,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 410.49.324.10 2019,951.0,DIRULAG.JAURLARITZA-HELDUEN LANBIDE PRES,,165555.0,165555.0,165555.07,165555.07,0.0,0.0
2 410.56.153.40 2019,1131.0,DIRULAG.JAURLARITZA- .KARTOGRAFIA-GIS ZE,,8198.0,8198.0,8198.49,0.0,8198.49,0.0
2 410.56.170.10 2019,1068.0,E.J.DIRUL: AGENDA21,,100.0,100.0,18312.59,10259.21,8053.38,0.0
2 410.56.172.20 2019,1065.0,DIRULAG.JAURLARITZA- INGURUGIROA,,100.0,100.0,31953.55,16214.28,15739.27,0.0
2 410.56.341.00 2019,1129.0,DIRULAG.JAURLARITZA. KIROLAK,,0.0,0.0,11221.54,3927.54,7294.0,0.0
2 410.66.151.10 2019,1075.0,DIRULAG.JAURLARITZA- HIRIGINTZA,,100.0,100.0,40198.9,8667.72,31531.18,0.0
2 411.01.335.10 2019,952.0,DIRULAG.HABE.EUSKALTEGIA.,,254186.0,254186.0,263004.03,263004.03,0.0,0.0
2 411.07.241.02 2019,1124.0,DIRULAG.LANBIDE-Toki Ekintzak,,88954.0,88954.0,88954.07,88954.07,0.0,0.0
2 411.08.241.02 2019,953.0,DIRULAG.LANBIDE-Andoain:enplegu progr,,67754.0,67754.0,50260.0,50260.0,0.0,0.0
2 411.09.241.01 2019,954.0,LANBIDE:ikastaroak,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 412.01.151.10 2019,1112.0,E.J. DIRULAGUNTZA -EVE- INDUSTRIALDEAK,,0.0,0.0,38663.19,38663.19,0.0,0.0
2 420.01.000.00 2019,55.0,UFFF-ITUNDUTAKO TRIBUTUETAKO PARTAIDETZA,,14008965.0,14008965.0,14323112.83,14008964.99,314147.84,0.0
2 420.02.172.40 2019,1133.0,DIRULAG.ALDUNDIA.-ENERGIA PLANA,,0.0,0.0,11100.0,11100.0,0.0,0.0
2 420.02.335.00 2019,955.0,DIRULAG.ALDUNDIA.EUSKARA,,1000.0,1000.0,6018.0,3966.0,2052.0,0.0
2 420.03.334.00 2019,956.0,DIRULAG.ALDUNDIA.KULTURA,,1000.0,1000.0,18690.0,11213.8,7476.2,0.0
2 420.04.341.00 2019,957.0,DIRULAG.ALDUNDIA.KIROLAK,,19165.0,19165.0,18037.97,18037.97,0.0,0.0
2 420.05.912.00 2019,1118.0,ALDUND.DIRUL:BIZIKIDETZA,,0.0,0.0,6776.0,6776.0,0.0,0.0
2 420.06.920.30 2019,1128.0,FORU ALDUNDIA:ARTXIBOA,,0.0,0.0,5656.64,5656.64,0.0,0.0
2 420.07.162.10 2019,1077.0,DIRULAG.ALDUNDIA-HONDAKINAK,,100.0,100.0,0.0,0.0,0.0,0.0
2 420.07.172.20 2019,1078.0,DIRULAG.ALDUNDIA.-INGURUGIROA,,100.0,100.0,17186.4,17186.4,0.0,0.0
2 420.08.172.30 2019,958.0,DIRULAG.ALDUNDIA.AGENDA21,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.09.153.70 2019,1130.0,DIRULAG-ALDUNDIA-LANDABIDEAK,,0.0,0.0,29345.24,29345.24,0.0,0.0
2 420.10.231.00 2019,1121.0,FORU ALDUND.DIRUL: BERDINTASUNA,,0.0,0.0,16941.42,16941.42,0.0,0.0
2 420.11.924.00 2019,1076.0,DIRULAG.ALDUNDIA-PARTE-HARTZEA,,100.0,100.0,12000.0,6000.0,6000.0,0.0
2 420.13.241.03 2019,959.0,DIRULAG.ALDUNDIA.ENPLEGU SUSTAPENA,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.18.231.03 2019,1079.0,FORU ALDUNDIA.DIRULAG: GAZTERIA,,100.0,100.0,9525.17,9525.17,0.0,0.0
2 422.01.241.00 2019,1132.0,DIRULAG.BESTE.TOKI GARAPENA,,0.0,0.0,7942.3,7942.3,0.0,0.0
2 422.02.241.00 2019,1071.0,ANDOAINGO UDALA-BETERRI-TOKIKO GARAPENA,,71682.0,71682.0,72081.79,0.0,72081.79,0.0
2 481.01.341.00 2019,960.0,DIRULAG.KIROL FEDERAZIOAK.,,1000.0,1000.0,1124.0,1124.0,0.0,0.0
2 540.02.000.00 2019,806.0,ALOKABIDE:etxebizitzen alokairua,,22800.0,22800.0,49743.03,49743.03,0.0,0.0
2 550.01.000.00 2019,64.0,ATSEGINDEGIKO GARAJEEN KANONA,,7500.0,7500.0,7814.39,7814.39,0.0,0.0
2 550.02.000.00 2019,764.0,BARATZA PARKEA.KANONA,,4400.0,4400.0,0.0,0.0,0.0,0.0
2 551.01.414.00 2019,961.0,BASO APROBETXAMENDUAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 553.01.342.00 2019,962.0,KIROLDEGIKO TABERNAREN USTIAKETA,,3300.0,3300.0,3288.72,1644.36,1644.36,0.0
2 553.02.342.01 2019,963.0,IGERILEKUKO TABERNAREN USTIAKETA,,1815.0,1815.0,1800.0,1800.0,0.0,0.0
2 560.01.000.00 2019,61.0,GORDAILUEN INTERESEAK,,6000.0,6000.0,10030.72,10030.72,0.0,0.0
2 590.01.000.00 2019,780.0,BESTELAKO ONDARE SARRERAK.,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 650.01.151.20 2019,1110.0,GALARRETA-06-JARDUKETA,,1577699.0,1577699.0,0.0,0.0,0.0,0.0
2 651.01.000.00 2019,357.0,HIRIGINTZAKO APROBETXAMENDUAK,,1000.0,1000.0,17041.0,0.0,17041.0,0.0
2 652.01.000.00 2019,490.0,HIRIGINTZAKO BESTE DIRU SARRERAK,,1000.0,1000.0,112444.74,101746.24,10698.5,0.0
2 710.01.332.10 2019,964.0,DIRULAG.JAURLARITZA-LIBURU EROSKETAK,,6538.0,6538.0,0.0,0.0,0.0,0.0
2 710.02.323.10 2019,1069.0,DIRULAG.JAURLARITZA-IKASTETXEAK-INBERTSI,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 712.01.920.00 2019,1134.0,DIRULAG-EVE-INBERTSIOAK,,0.0,0.0,6000.0,6000.0,0.0,0.0
2 823.01.000.00 2019,65.0,PERSONAL AURRERAKINAK,,10000.0,10000.0,0.0,0.0,0.0,0.0
2 870.01.000.00 2019,1116.0,DIRUZAINTZA GERAKINA-OROKORRA,,945000.0,945000.0,0.0,0.0,0.0,0.0
2 870.01.000.00 2018,1114.0,DIRUZAINTZA GERAKINA-OROKORRA-INKORP,,9875007.59,9875007.59,0.0,0.0,0.0,0.0
2 870.02.000.00 2018,1115.0,DIRUZAINTZA GERAKINA-LOTUA-INKORP,,797003.25,797003.25,0.0,0.0,0.0,0.0
2 933.01.000.00 2019,476.0,FINANTZA ENTITATEEN MAILEGUAK,,0.0,0.0,0.0,0.0,0.0,0.0
