Partida,Código interno,Descripción,Año,Ppto. Inicial,Ppto. Definitivo,Derechos reconocidos Netos,Recaudación Líquida,Pendiente de Cobro,Devoluciones
2 310.04.000.00 2019,349.0,Documentos,,1000.0,1000.0,1757.3,1757.3,0.0,0.0
2 651.01.000.00 2019,357.0,Aprovechamientos urbanisticos,,1000.0,1000.0,17041.0,0.0,17041.0,0.0
2 933.01.000.00 2019,476.0,Prestamos largo plazo,,0.0,0.0,0.0,0.0,0.0,0.0
2 312.03.000.00 2019,489.0,Actualizacion cartografia,,5000.0,5000.0,3244.8,3244.8,0.0,0.0
2 652.01.000.00 2019,490.0,Otros ingresos-urbanismo,,1000.0,1000.0,112444.74,101746.24,10698.5,0.0
2 321.11.000.00 2019,540.0,Tarjetas control entrada,,1000.0,1000.0,530.0,530.0,0.0,0.0
2 381.01.000.00 2019,596.0,Compensacion daños: pivote,,5000.0,5000.0,6477.93,2936.38,3541.55,0.0
2 382.01.000.00 2019,597.0,Compensacion daños: vias publicas,,5000.0,5000.0,20681.74,0.0,20681.74,0.0
2 550.02.000.00 2019,764.0,Canon.Huertas.,,4400.0,4400.0,0.0,0.0,0.0,0.0
2 590.01.000.00 2019,780.0,Otros ingresos patrimonio,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 540.02.000.00 2019,806.0,Alokabide. Alquiler viviendas,,22800.0,22800.0,49743.03,49743.03,0.0,0.0
2 321.13.000.00 2019,834.0,Ocupacion: cajeros,,2500.0,2500.0,2199.75,2199.75,0.0,0.0
2 310.01.162.10 2019,917.0,Recogida Tratamiento Residuos,,1445506.0,1445506.0,1461036.15,1285740.59,175295.56,7466.85
2 310.02.160.00 2019,918.0,Saneamiento,,612186.0,612186.0,636628.12,629037.57,7590.55,1926.86
2 310.03.164.00 2019,919.0,Cementerio,,37496.0,37496.0,38325.67,36749.17,1576.5,0.0
2 310.08.136.00 2019,920.0,Incendios,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.09.161.00 2019,921.0,Suministro agua,,1354836.0,1354836.0,1403832.44,1381081.8,22750.64,6240.84
2 310.11.335.10 2019,922.0,Euskaltegia,,51436.0,51436.0,56216.03,56216.03,0.0,0.0
2 310.16.334.10 2019,923.0,Talleres Biteri,,61095.0,61095.0,66344.84,66344.84,0.0,0.0
2 310.20.326.01 2019,924.0,Musika Eskola,,132046.0,132046.0,134969.8,134071.92,897.88,0.0
2 310.21.326.02 2019,925.0,Kantuz,,6000.0,6000.0,8001.65,8001.65,0.0,0.0
2 310.22.335.40 2019,926.0,Udalekuak,,37500.0,37500.0,40798.04,40798.04,0.0,0.0
2 310.24.342.00 2019,927.0,Kiroldegia-Abonados,,512407.0,512407.0,605235.96,605235.96,0.0,153.31
2 310.25.342.00 2019,928.0,Kiroldegia-entradas,,5000.0,5000.0,9545.33,9545.33,0.0,0.0
2 310.26.342.00 2019,929.0,Cursos natacion,,211783.0,211783.0,180435.47,180435.47,0.0,397.58
2 310.27.342.00 2019,930.0,Sala squash,,100.0,100.0,15.0,15.0,0.0,0.0
2 310.28.342.00 2019,931.0,Kiroldegia-otros cursos,,176167.0,176167.0,177380.63,177380.63,0.0,0.0
2 310.29.342.00 2019,932.0,Kiroldegia-Pista,,5000.0,5000.0,1978.0,1978.0,0.0,0.0
2 310.30.342.00 2019,933.0,Kiroldegia-Fronton,,1000.0,1000.0,11.3,11.3,0.0,0.0
2 310.32.342.00 2019,935.0,Kiroldegia-Sauna,,5000.0,5000.0,4822.15,4822.15,0.0,0.0
2 310.35.342.01 2019,937.0,Piscina exterior-abonados,,110458.0,110458.0,108544.13,108544.13,0.0,523.65
2 310.36.342.01 2019,938.0,Piscina exterior-entradas,,122612.0,122612.0,115066.37,115066.37,0.0,0.0
2 310.37.342.00 2019,939.0,Kiroldegia-karnet,,100.0,100.0,1120.5,1120.5,0.0,0.0
2 340.02.334.00 2019,940.0,Entradas espectaculos,,16340.0,16340.0,18124.5,18124.5,0.0,0.0
2 340.03.323.30 2019,941.0,Comedor-Haur Eskola,,49061.0,49061.0,52897.6,52897.6,0.0,0.0
2 340.04.231.00 2019,942.0,Berdintasuna-Cursos,,1000.0,1000.0,2796.5,2796.5,0.0,0.0
2 391.03.000.00 2019,943.0,Sanciones Medio Ambiente,,5000.0,5000.0,27490.1,20820.72,6669.38,240.0
2 399.05.323.30 2019,944.0,Comedor-Haur Eskola-Profesorado,,5685.0,5685.0,7052.18,7052.18,0.0,0.0
2 399.12.162.10 2019,945.0,Reciclaje-ingresos,,443050.0,443050.0,380821.0,352339.55,28481.45,0.0
2 410.01.929.10 2019,946.0,Subv.Juzgado,,4625.0,4625.0,4625.0,4625.0,0.0,0.0
2 410.02.326.01 2019,947.0,Subv.Musika Eskola,,125000.0,125000.0,125000.0,0.0,125000.0,0.0
2 410.03.332.10 2019,948.0,Subv.Biblioteca,,10444.0,10444.0,21782.0,21782.0,0.0,0.0
2 410.48.335.00 2019,950.0,Subv.Plan Euskera.,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 410.49.324.10 2019,951.0,Subv.Formacion Adultos,,165555.0,165555.0,165555.07,165555.07,0.0,0.0
2 411.01.335.10 2019,952.0,Subv.Euskaltegia,,254186.0,254186.0,263004.03,263004.03,0.0,0.0
2 411.08.241.02 2019,953.0,Lanbide-Andoain-programas empleo,,67754.0,67754.0,50260.0,50260.0,0.0,0.0
2 411.09.241.01 2019,954.0,Subv.Lanbide-Cursos,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.02.335.00 2019,955.0,Subv.Euskara,,1000.0,1000.0,6018.0,3966.0,2052.0,0.0
2 420.03.334.00 2019,956.0,Subv.Cultura,,1000.0,1000.0,18690.0,11213.8,7476.2,0.0
2 420.04.341.00 2019,957.0,Subv.Deportes,,19165.0,19165.0,18037.97,18037.97,0.0,0.0
2 420.08.172.30 2019,958.0,Subv.Agenda21,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 420.13.241.03 2019,959.0,Subv.Diputacion.Programas empleo,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 481.01.341.00 2019,960.0,Subv.Federacion deportes,,1000.0,1000.0,1124.0,1124.0,0.0,0.0
2 551.01.414.00 2019,961.0,Aprovechamiento forestal,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 553.01.342.00 2019,962.0,Canon: Bar-Kiroldegia,,3300.0,3300.0,3288.72,1644.36,1644.36,0.0
2 553.02.342.01 2019,963.0,Canon: Bar-Piscinas exteriores,,1815.0,1815.0,1800.0,1800.0,0.0,0.0
2 710.01.332.10 2019,964.0,Subv.Fondos bibliograficos,,6538.0,6538.0,0.0,0.0,0.0,0.0
2 410.56.172.20 2019,1065.0,Subv.GobiernoVasco. INGURUGIROA,,100.0,100.0,31953.55,16214.28,15739.27,0.0
2 410.05.334.00 2019,1067.0,Subv.GobiernoVasco. KULTURA,,100.0,100.0,7972.0,5979.0,1993.0,0.0
2 410.56.170.10 2019,1068.0,E.J.DIRUL: AGENDA21,,100.0,100.0,18312.59,10259.21,8053.38,0.0
2 710.02.323.10 2019,1069.0,E.J.DIRUL.IKASTETXEAK-INBERTSIOAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 422.02.241.00 2019,1071.0,ANDOAINGO UDALA-BETERRI,,100.0,71682.0,72081.79,0.0,72081.79,0.0
2 410.66.151.10 2019,1075.0,Subv.GobiernoVasco.HIRIGINTZA,,100.0,100.0,40198.9,8667.72,31531.18,0.0
2 420.11.924.00 2019,1076.0,FORU ALDUND.DIRUL:PARTE-HARTZEA,,100.0,100.0,12000.0,6000.0,6000.0,0.0
2 420.07.162.10 2019,1077.0,FORU ALDUND. DIRUL.: HONDAKINAK,,100.0,100.0,0.0,0.0,0.0,0.0
2 420.07.172.20 2019,1078.0,FORU ALDUND. DIRUL.: INGURUGIROA,,100.0,100.0,17186.4,17186.4,0.0,0.0
2 420.18.231.03 2019,1079.0,FORU ALDUNDIA.DIRULAG: GAZTERIA,,100.0,100.0,9525.17,9525.17,0.0,0.0
2 650.01.151.20 2019,1110.0,Galarreta-06-ambito,,1577699.0,1577699.0,0.0,0.0,0.0,0.0
2 400.02.231.00 2019,1111.0,Fondo estatal-violencia genero,,0.0,4290.0,8579.08,8579.08,0.0,0.0
2 412.01.151.10 2019,1112.0,E.J. DIRULAGUNTZA -EVE- INDUSTRIALDEAK,,0.0,0.0,38663.19,38663.19,0.0,0.0
2 410.09.920.10 2019,1113.0,E.J.: IVAPEN DIRULAG: FORMAKUNTZA,,0.0,0.0,-171.25,-1478.75,1307.5,2786.25
2 870.01.000.00 2018,1114.0,REMANENTE GTOS GENERALES-INCORP,,0.0,9875007.59,0.0,0.0,0.0,0.0
2 870.02.000.00 2018,1115.0,REMANENTE GTOS AFECTADOS-INCORP,,0.0,797003.25,0.0,0.0,0.0,0.0
2 870.01.000.00 2019,1116.0,REMANENTE GTOS GENERALES,,0.0,945000.0,0.0,0.0,0.0,0.0
2 383.01.000.00 2019,1117.0,Reintegro-Samarko,,0.0,0.0,66782.29,66782.29,0.0,0.0
2 420.05.912.00 2019,1118.0,ALDUND.DIRUL:BIZIKIDETZA,,0.0,0.0,6776.0,6776.0,0.0,0.0
2 410.04.323.10 2019,1120.0,Subv.Obras.Centros Escolares,,0.0,0.0,45795.84,45795.84,0.0,0.0
2 420.10.231.00 2019,1121.0,FORU ALDUND.DIRUL: BERDINTASUNA,,0.0,0.0,16941.42,16941.42,0.0,0.0
2 399.15.342.02 2019,1122.0,INGRESOS DAÑOS ZUBIPE,,0.0,6851.0,6851.01,6851.01,0.0,0.0
2 399.18.342.03 2019,1123.0,INGRESOS DAÑOS LANDARE,,0.0,18380.0,18379.69,18379.69,0.0,0.0
2 411.07.241.02 2019,1124.0,Lanbide-Hernani-Acciones locales,,0.0,88954.0,88954.07,88954.07,0.0,0.0
2 399.01.241.00 2019,1126.0,Iturola-coworking,,0.0,0.0,2490.0,2490.0,0.0,0.0
2 399.13.000.00 2019,1127.0,HERENCIA JOSEFINA RUBIO,,0.0,0.0,756.49,756.49,0.0,0.0
2 420.06.920.30 2019,1128.0,FORU ALDUNDIA:ARTXIBOA,,0.0,0.0,5656.64,5656.64,0.0,0.0
2 410.56.341.00 2019,1129.0,SUBVENCION GOBIERNO VASCO. DEPORTES,,0.0,0.0,11221.54,3927.54,7294.0,0.0
2 420.09.153.70 2019,1130.0,Subv-Diputacion - Caminos rurales,,0.0,0.0,29345.24,29345.24,0.0,0.0
2 410.56.153.40 2019,1131.0,Subv.GobiernoVasco.Cartografia - GIS,,0.0,8198.0,8198.49,0.0,8198.49,0.0
2 422.01.241.00 2019,1132.0,DIRULAG.BESTE.TOKI GARAPENA,,0.0,0.0,7942.3,7942.3,0.0,0.0
2 420.02.172.40 2019,1133.0,Subv-Diputacion-Energia,,0.0,0.0,11100.0,11100.0,0.0,0.0
2 712.01.920.00 2019,1134.0,Subv-Eve-Inversiones,,0.0,0.0,6000.0,6000.0,0.0,0.0
