Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 01.120.01.920.20 2020,4276.0,Retribucion básica.,32796.0,32796.0,0.0,33161.68,-365.68,33161.68,33161.68,33161.68,33161.68
1 01.120.01.920.30 2020,4277.0,Retribucion básica.,20903.0,20903.0,0.0,20753.42,149.58,20753.42,20753.42,20753.42,20753.42
1 01.120.01.924.00 2020,5880.0,Sueldo Base. Partehartzea,20044.0,20044.0,0.0,12209.07,7834.93,12209.07,12209.07,12209.07,12209.07
1 01.120.01.929.10 2020,4278.0,Retribucion básica.,5450.0,5450.0,0.0,5566.71,-116.71,5566.71,5566.71,5566.71,5566.71
1 01.120.01.931.00 2020,4279.0,Retribucion básica.,129252.0,129252.0,0.0,133425.64,-4173.64,133425.64,133425.64,133425.64,133425.64
1 01.120.01.932.00 2020,4280.0,Retribucion básica.,55701.0,55701.0,0.0,60425.67,-4724.67,60425.67,60425.67,60425.67,60425.67
1 01.120.01.933.00 2020,4281.0,Retribucion básica.,60456.0,60456.0,0.0,72178.8,-11722.8,72178.8,72178.8,72178.8,72178.8
1 01.121.06.920.10 2020,4282.0,Programas temporales,65000.0,65000.0,0.0,0.0,65000.0,0.0,0.0,0.0,0.0
1 01.121.99.132.00 2020,4283.0,Retribucion complementaria,737247.0,737247.0,0.0,831757.06,-94510.06,831757.06,831757.06,831757.06,831757.06
1 01.121.99.151.00 2020,4284.0,Retribucion complementaria,236294.0,236294.0,0.0,229217.63,7076.37,229217.63,229217.63,229217.63,229217.63
1 01.121.99.153.40 2020,4285.0,Retribucion complementaria,381576.0,381576.0,0.0,387048.7,-5472.7,387048.7,387048.7,387048.7,387048.7
1 01.121.99.161.00 2020,4287.0,Retribucion complementaria,99621.0,99621.0,0.0,116622.8,-17001.8,116622.8,116622.8,116622.8,116622.8
1 01.121.99.164.00 2020,4288.0,Retribucion complementaria,18229.0,18229.0,0.0,26362.24,-8133.24,26362.24,26362.24,26362.24,26362.24
1 01.121.99.165.00 2020,4289.0,Retribucion complementaria,19820.0,19820.0,0.0,24820.69,-5000.69,24820.69,24820.69,24820.69,24820.69
1 01.121.99.172.20 2020,4290.0,Retribucion complementaria,21982.0,21982.0,0.0,29176.87,-7194.87,29176.87,29176.87,29176.87,29176.87
1 01.121.99.231.00 2020,4293.0,Retribucion complementaria,62652.0,62652.0,0.0,79030.25,-16378.25,79030.25,79030.25,79030.25,79030.25
1 01.121.99.231.01 2020,4292.0,Retribucion complementaria,1722.0,1722.0,0.0,0.0,1722.0,0.0,0.0,0.0,0.0
1 01.121.99.231.03 2020,4869.0,Retribucion complementaria,41531.0,41531.0,0.0,49062.2,-7531.2,49062.2,49062.2,49062.2,49062.2
1 01.121.99.241.00 2020,4294.0,Retribucion complementaria,63362.0,63362.0,0.0,70782.14,-7420.14,70782.14,70782.14,70782.14,70782.14
1 01.121.99.323.10 2020,4295.0,Retribucion complementaria,66956.0,66956.0,0.0,77319.52,-10363.52,77319.52,77319.52,77319.52,77319.52
1 01.121.99.326.01 2020,4297.0,Retribucion complementaria,254067.0,254067.0,0.0,298102.24,-44035.24,298102.24,298102.24,298102.24,298102.24
1 01.121.99.330.00 2020,4298.0,Retribucion complementaria,54251.0,54251.0,0.0,62986.89,-8735.89,62986.89,62986.89,62986.89,62986.89
1 01.121.99.332.10 2020,4299.0,Retribucion complementaria,93337.0,93337.0,0.0,109133.99,-15796.99,109133.99,109133.99,109133.99,109133.99
1 01.121.99.333.00 2020,4300.0,Retribucion complementaria,38754.0,38754.0,0.0,49578.72,-10824.72,49578.72,49578.72,49578.72,49578.72
1 01.121.99.335.00 2020,4301.0,Retribucion complementaria,84411.0,84411.0,0.0,98589.68,-14178.68,98589.68,98589.68,98589.68,98589.68
1 01.121.99.335.10 2020,4302.0,Retribucion complementaria,159128.0,159128.0,0.0,206701.25,-47573.25,206701.25,206701.25,206701.25,206701.25
1 01.121.99.335.30 2020,4303.0,Retribucion complementaria,19560.0,19560.0,0.0,20831.73,-1271.73,20831.73,20831.73,20831.73,20831.73
1 01.121.99.337.00 2020,4304.0,Retribucion complementaria,45346.0,45346.0,0.0,8556.94,36789.06,8556.94,8556.94,8556.94,8556.94
1 01.121.99.342.00 2020,4305.0,Retribucion complementaria,261706.0,261706.0,0.0,333125.93,-71419.93,333125.93,333125.93,333125.93,333125.93
1 01.121.99.342.01 2020,4306.0,Retribucion complementaria,10107.0,10107.0,0.0,11293.14,-1186.14,11293.14,11293.14,11293.14,11293.14
1 01.121.99.414.00 2020,4307.0,Retribucion complementaria,19820.0,19820.0,0.0,22270.96,-2450.96,22270.96,22270.96,22270.96,22270.96
1 01.121.99.432.00 2020,4308.0,Retribucion complementaria,19560.0,19560.0,0.0,24250.57,-4690.57,24250.57,24250.57,24250.57,24250.57
1 01.121.99.920.00 2020,4310.0,Retribucion complementaria,216453.0,216453.0,0.0,289952.23,-73499.23,289952.23,289952.23,289952.23,289952.23
1 01.121.99.920.10 2020,4311.0,Retribucion complementaria,70405.0,70405.0,0.0,84021.76,-13616.76,84021.76,84021.76,84021.76,84021.76
1 01.121.99.920.11 2020,4312.0,Retribucion complementaria,28216.0,28216.0,0.0,28873.51,-657.51,28873.51,28873.51,28873.51,28873.51
1 01.121.99.920.20 2020,4313.0,Retribucion complementaria,47683.0,47683.0,0.0,49785.48,-2102.48,49785.48,49785.48,49785.48,49785.48
1 01.121.99.920.30 2020,4314.0,Retribucion complementaria,21982.0,21982.0,0.0,26893.8,-4911.8,26893.8,26893.8,26893.8,26893.8
1 01.121.99.924.00 2020,5881.0,Sueldo complementos. PARTEHARTZEA,19560.0,19560.0,0.0,32155.32,-12595.32,32155.32,32155.32,32155.32,32155.32
1 01.121.99.929.00 2020,6347.0,Retribucion-Valoracion 2020,0.0,370000.0,0.0,0.0,370000.0,0.0,0.0,0.0,0.0
1 01.121.99.929.10 2020,4315.0,Retribucion complementaria,6927.0,6927.0,0.0,7293.49,-366.49,7293.49,7293.49,7293.49,7293.49
1 01.121.99.931.00 2020,4316.0,Retribucion complementaria,181446.0,181446.0,0.0,231232.37,-49786.37,231232.37,231232.37,231232.37,231232.37
1 01.121.99.932.00 2020,4317.0,Retribucion complementaria,71486.0,71486.0,0.0,84771.55,-13285.55,84771.55,84771.55,84771.55,84771.55
1 01.121.99.933.00 2020,4318.0,Retribucion complementaria,87668.0,87668.0,0.0,128499.65,-40831.65,128499.65,128499.65,128499.65,128499.65
1 01.131.01.241.00 2020,6177.0,PERSONAL LABORAL TEMPORAL. TOKI GARAPENA,0.0,0.0,0.0,35489.14,-35489.14,35489.14,35489.14,35489.14,35489.14
1 01.131.01.241.01 2020,4321.0,PERSONAL LABORAL TEMPORAL. CURSOS.,1018.0,1018.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0
1 01.131.01.241.02 2020,4322.0,PERSONAL LABORAL TEMPORAL. LANBIDE,135093.0,135093.0,0.0,118024.97,17068.03,118024.97,118024.97,118024.97,118024.97
1 01.131.01.324.10 2020,4325.0,PERSONAL LABORAL TEMPORAL. LANBIDE,127248.0,127248.0,0.0,124106.04,3141.96,124106.04,124106.04,124106.04,124106.04
1 01.131.01.330.00 2020,6178.0,RETRIB.LABORAL TEMPORAL. SERV.CULTURALES,0.0,0.0,0.0,20563.64,-20563.64,20563.64,20563.64,20563.64,20563.64
1 01.131.01.333.00 2020,4326.0,PERSONAL LABORAL TEMPORAL. CASA CULTURA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 01.160.01.132.00 2020,4329.0,Ssocial,398530.0,398530.0,0.0,393526.3,5003.7,393526.3,393526.3,393526.3,393526.3
1 01.160.01.151.00 2020,4330.0,Ssocial,106909.0,106909.0,0.0,105284.37,1624.63,105284.37,105284.37,105284.37,105284.37
1 01.160.01.153.40 2020,4331.0,Ssocial,177531.0,177531.0,0.0,143082.36,34448.64,143082.36,143082.36,143082.36,143082.36
1 01.160.01.161.00 2020,4333.0,Ssocial,50748.0,50748.0,0.0,56825.89,-6077.89,56825.89,56825.89,56825.89,56825.89
1 01.160.01.164.00 2020,4334.0,Ssocial,8858.0,8858.0,0.0,-10862.58,19720.58,-10862.58,-10862.58,-10862.58,-10862.58
1 01.160.01.165.00 2020,4335.0,Ssocial,10525.0,10525.0,0.0,12737.77,-2212.77,12737.77,12737.77,12737.77,12737.77
1 01.160.01.172.20 2020,4336.0,Ssocial,11703.0,11703.0,0.0,12726.74,-1023.74,12726.74,12726.74,12726.74,12726.74
1 01.160.01.231.00 2020,4339.0,Ssocial,31861.0,31861.0,0.0,30965.06,895.94,30965.06,30965.06,30965.06,30965.06
1 01.160.01.231.01 2020,4338.0,Ssocial,816.0,816.0,0.0,0.0,816.0,0.0,0.0,0.0,0.0
1 01.160.01.231.03 2020,4870.0,Ssocial,20813.0,20813.0,0.0,22304.12,-1491.12,22304.12,22304.12,22304.12,22304.12
1 01.160.01.241.00 2020,4340.0,Ssocial,33982.0,33982.0,0.0,45730.54,-11748.54,45730.54,45730.54,45730.54,45730.54
1 01.160.01.241.01 2020,4341.0,Ssocial,102.0,102.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0
1 01.160.01.241.02 2020,4342.0,Ssocial,47535.0,47535.0,0.0,36290.34,11244.66,36290.34,36290.34,36290.34,36290.34
1 01.160.01.323.10 2020,4344.0,Ssocial,36455.0,36455.0,0.0,36563.84,-108.84,36563.84,36563.84,36563.84,36563.84
1 01.160.01.324.10 2020,4346.0,Ssocial,41925.0,41925.0,0.0,36159.02,5765.98,36159.02,36159.02,36159.02,36159.02
1 01.160.01.326.01 2020,4347.0,Ssocial,145291.0,145291.0,0.0,150436.33,-5145.33,150436.33,150436.33,150436.33,150436.33
1 01.160.01.330.00 2020,4348.0,Ssocial,24657.0,24657.0,0.0,29936.22,-5279.22,29936.22,29936.22,29936.22,29936.22
1 01.160.01.332.10 2020,4349.0,Ssocial,48129.0,48129.0,0.0,52080.82,-3951.82,52080.82,52080.82,52080.82,52080.82
1 01.160.01.333.00 2020,4350.0,Ssocial,17825.0,17825.0,0.0,21815.75,-3990.75,21815.75,21815.75,21815.75,21815.75
1 01.160.01.335.00 2020,4351.0,Ssocial,42316.0,42316.0,0.0,42657.2,-341.2,42657.2,42657.2,42657.2,42657.2
1 01.160.01.335.10 2020,4352.0,Ssocial,93377.0,93377.0,0.0,83932.12,9444.88,83932.12,83932.12,83932.12,83932.12
1 01.160.01.335.30 2020,4353.0,Ssocial,10556.0,10556.0,0.0,11029.84,-473.84,11029.84,11029.84,11029.84,11029.84
1 01.160.01.337.00 2020,4354.0,Ssocial,21448.0,21448.0,0.0,11109.95,10338.05,11109.95,11109.95,11109.95,11109.95
1 01.160.01.342.00 2020,4355.0,Ssocial,125350.0,125350.0,0.0,122980.78,2369.22,122980.78,122980.78,122980.78,122980.78
1 01.160.01.342.01 2020,4356.0,Ssocial,4872.0,4872.0,0.0,4642.0,230.0,4642.0,4642.0,4642.0,4642.0
1 01.160.01.414.00 2020,4357.0,Ssocial,9113.0,9113.0,0.0,9902.33,-789.33,9902.33,9902.33,9902.33,9902.33
1 01.160.01.432.00 2020,4358.0,Ssocial,10310.0,10310.0,0.0,11611.59,-1301.59,11611.59,11611.59,11611.59,11611.59
1 01.160.01.912.00 2020,4359.0,Ssocial,102318.0,102318.0,0.0,107088.13,-4770.13,107088.13,107088.13,107088.13,107088.13
1 01.160.01.920.00 2020,4360.0,Ssocial,100416.0,100416.0,0.0,97213.2,3202.8,97213.2,97213.2,97213.2,97213.2
1 01.160.01.920.10 2020,4361.0,Ssocial,44674.0,44674.0,0.0,35478.8,9195.2,35478.8,35478.8,35478.8,35478.8
1 01.160.01.920.11 2020,4362.0,Ssocial,12626.0,12626.0,0.0,12590.47,35.53,12590.47,12590.47,12590.47,12590.47
1 01.160.01.920.20 2020,4363.0,Ssocial,22796.0,22796.0,0.0,20653.24,2142.76,20653.24,20653.24,20653.24,20653.24
1 01.160.01.920.30 2020,4364.0,Ssocial,11409.0,11409.0,0.0,12623.87,-1214.87,12623.87,12623.87,12623.87,12623.87
1 01.160.01.924.00 2020,5882.0,Seguridad Social. Partehartzea,10178.0,10178.0,0.0,-764.52,10942.52,-764.52,-764.52,-764.52,-764.52
1 01.160.01.929.10 2020,4365.0,Ssocial,3530.0,3530.0,0.0,3681.96,-151.96,3681.96,3681.96,3681.96,3681.96
1 01.160.01.931.00 2020,4366.0,Ssocial,85792.0,85792.0,0.0,79817.17,5974.83,79817.17,79817.17,79817.17,79817.17
1 01.160.01.932.00 2020,4367.0,Ssocial,33018.0,33018.0,0.0,36191.38,-3173.38,36191.38,36191.38,36191.38,36191.38
1 01.160.01.933.00 2020,4368.0,Ssocial,47074.0,47074.0,0.0,54340.42,-7266.42,54340.42,54340.42,54340.42,54340.42
1 01.160.04.132.00 2020,4369.0,Elkarkidetza,16773.0,16773.0,0.0,13509.48,3263.52,13509.48,13509.48,13509.48,13509.48
1 01.160.04.151.00 2020,4370.0,Elkarkidetza,5558.0,5558.0,0.0,2431.38,3126.62,2431.38,2431.38,2431.38,2431.38
1 01.160.04.153.40 2020,4371.0,Elkarkidetza,10829.0,10829.0,0.0,9139.9,1689.1,9139.9,9139.9,9139.9,9139.9
1 01.160.04.161.00 2020,4373.0,Elkarkidetza,3944.0,3944.0,0.0,4756.5,-812.5,4756.5,4756.5,4756.5,4756.5
1 01.160.04.164.00 2020,4374.0,Elkarkidetza,986.0,986.0,0.0,993.86,-7.86,993.86,993.86,993.86,993.86
1 01.160.04.172.20 2020,4376.0,Elkarkidetza,1761.0,1761.0,0.0,1774.92,-13.92,1774.92,1774.92,1774.92,1774.92
1 01.160.04.231.00 2020,4378.0,Elkarkidetza,4056.0,4056.0,0.0,4087.86,-31.86,4087.86,4087.86,4087.86,4087.86
1 01.160.04.231.03 2020,5610.0,Elkarkidetza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 01.160.04.241.00 2020,4379.0,Elkarkidetza,1438.0,1438.0,0.0,2638.44,-1200.44,2638.44,2638.44,2638.44,2638.44
1 01.160.04.323.10 2020,4380.0,Elkarkidetza,2958.0,2958.0,0.0,1987.72,970.28,1987.72,1987.72,1987.72,1987.72
1 01.160.04.326.01 2020,4382.0,Elkarkidetza,10683.0,10683.0,0.0,9311.68,1371.32,9311.68,9311.68,9311.68,9311.68
1 01.160.04.332.10 2020,4384.0,Elkarkidetza,6415.0,6415.0,0.0,6465.9,-50.9,6465.9,6465.9,6465.9,6465.9
1 01.160.04.333.00 2020,4385.0,Elkarkidetza,986.0,986.0,0.0,993.86,-7.86,993.86,993.86,993.86,993.86
1 01.160.04.335.00 2020,4386.0,Elkarkidetza,5493.0,5493.0,0.0,5537.28,-44.28,5537.28,5537.28,5537.28,5537.28
1 01.160.04.335.10 2020,4387.0,Elkarkidetza,11245.0,11245.0,0.0,11334.96,-89.96,11334.96,11334.96,11334.96,11334.96
1 01.160.04.335.30 2020,4388.0,Elkarkidetza,1438.0,1438.0,0.0,1449.42,-11.42,1449.42,1449.42,1449.42,1449.42
1 01.160.04.342.00 2020,4389.0,Elkarkidetza,11990.0,11990.0,0.0,12085.78,-95.78,12085.78,12085.78,12085.78,12085.78
1 01.160.04.414.00 2020,4391.0,Elkarkidetza,986.0,986.0,0.0,993.86,-7.86,993.86,993.86,993.86,993.86
1 01.160.04.432.00 2020,4392.0,Elkarkidetza,1438.0,1438.0,0.0,1449.42,-11.42,1449.42,1449.42,1449.42,1449.42
1 01.160.04.920.00 2020,4394.0,Elkarkidetza,9631.0,9631.0,0.0,8749.04,881.96,8749.04,8749.04,8749.04,8749.04
1 01.160.04.920.10 2020,4395.0,Elkarkidetza,2359.0,2359.0,0.0,2378.04,-19.04,2378.04,2378.04,2378.04,2378.04
1 01.160.04.920.11 2020,4396.0,Elkarkidetza,1438.0,1438.0,0.0,1449.42,-11.42,1449.42,1449.42,1449.42,1449.42
1 01.160.04.920.20 2020,4397.0,Elkarkidetza,1438.0,1438.0,0.0,1449.42,-11.42,1449.42,1449.42,1449.42,1449.42
1 01.160.04.920.30 2020,4398.0,Elkarkidetza,1761.0,1761.0,0.0,1774.92,-13.92,1774.92,1774.92,1774.92,1774.92
1 01.160.04.929.10 2020,4399.0,Elkarkidetza,375.0,375.0,0.0,378.7,-3.7,378.7,378.7,378.7,378.7
1 01.160.04.931.00 2020,4400.0,Elkarkidetza,3235.0,3235.0,0.0,6641.79,-3406.79,6641.79,6641.79,6641.79,6641.79
1 01.160.04.932.00 2020,4401.0,Elkarkidetza,3539.0,3539.0,0.0,4076.64,-537.64,4076.64,4076.64,4076.64,4076.64
1 01.160.04.933.00 2020,4402.0,Elkarkidetza,5881.0,5881.0,0.0,5927.88,-46.88,5927.88,5927.88,5927.88,5927.88
1 02.160.06.920.10 2020,5160.0,Asistencia medica,5500.0,5500.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0
1 02.161.03.920.10 2020,5161.0,Indemnizaciones prejubilación,130000.0,130000.0,0.0,133299.31,-3299.31,133299.31,133299.31,133299.31,133299.31
1 02.162.01.335.30 2020,4413.0,Euskaldunizacion trabajadores,7000.0,7000.0,0.0,4478.43,2521.57,4478.43,4478.43,4478.43,4478.43
1 02.162.01.920.10 2020,4414.0,Formacion,20000.0,20000.0,0.0,5090.61,14909.39,5090.61,5090.61,5090.61,5090.61
1 02.162.01.920.10 2019,6179.0,Formacion,0.0,960.0,0.0,0.0,960.0,0.0,0.0,0.0,0.0
1 02.162.05.920.10 2020,4416.0,Seguro vida,40000.0,80000.0,0.0,78346.85,1653.15,78346.85,78346.85,78346.85,78346.85
1 02.210.01.414.00 2020,6107.0,Ingurunea,50000.0,50000.0,0.0,72019.33,-22019.33,72019.33,64001.34,64001.34,63801.67
1 02.211.01.342.00 2020,4417.0,Mantenimiento,74000.0,74000.0,0.0,34871.22,39128.78,34871.22,32369.36,32369.36,32369.36
1 02.211.01.342.00 2019,6181.0,Mantenimiento,0.0,8666.36,0.0,6164.5,2501.86,6164.5,6164.5,6164.5,6164.5
1 02.211.01.342.00 2018,6180.0,Mantenimiento,0.0,3394.05,0.0,3394.05,0.0,3394.05,3394.05,3394.05,3394.05
1 02.211.01.342.01 2020,4418.0,Mntenimiento,14000.0,14000.0,0.0,11055.72,2944.28,11055.72,11055.72,11055.72,11055.72
1 02.211.01.342.01 2019,6182.0,Mntenimiento,0.0,1455.39,0.0,1455.39,0.0,1455.39,1455.39,1455.39,1455.39
1 02.211.01.342.02 2020,4419.0,Mantenimiento zubipe,6000.0,6000.0,0.0,4687.98,1312.02,4687.98,4687.98,4687.98,4687.98
1 02.211.01.342.02 2018,6183.0,Mantenimiento zubipe,0.0,5000.0,0.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0
1 02.211.01.342.03 2020,4420.0,Mantenimiento Landare,6000.0,6000.0,0.0,12834.51,-6834.51,12834.51,11527.71,11527.71,11527.71
1 02.211.01.342.09 2020,4421.0,Otras instalaciones deporte,3000.0,3000.0,0.0,3253.31,-253.31,3253.31,3253.31,3253.31,3253.31
1 02.211.02.342.00 2020,5612.0,Mantenimiento ascensor-polideportivo,15000.0,15000.0,0.0,14538.15,461.85,14538.15,14538.15,14538.15,14538.15
1 02.212.01.342.00 2020,4422.0,Gimnasio,22000.0,22000.0,0.0,11216.32,10783.68,11216.32,10253.53,10253.53,10253.53
1 02.212.01.342.00 2019,6184.0,Gimnasio,0.0,1295.39,0.0,0.0,1295.39,0.0,0.0,0.0,0.0
1 02.212.01.414.00 2020,6108.0,Mantenimiento Ingurumena,3000.0,3000.0,0.0,420.94,2579.06,420.94,420.94,420.94,420.94
1 02.213.01.132.00 2020,4423.0,Mantenimiento vehiculo,8000.0,8000.0,0.0,6217.46,1782.54,6217.46,6217.46,6217.46,6217.46
1 02.213.01.414.00 2020,6109.0,Mantenimiento Ingurumena,3500.0,3500.0,0.0,141.44,3358.56,141.44,141.44,141.44,141.44
1 02.213.01.920.00 2020,6110.0,Mantenimiento vehiculo,1000.0,1000.0,0.0,80.59,919.41,80.59,80.59,80.59,80.59
1 02.214.01.920.00 2020,6111.0,Equipos oficina,48000.0,48000.0,0.0,35789.52,12210.48,35789.52,35789.52,35789.52,35789.52
1 02.215.01.920.20 2020,4424.0,Mantenimiento,47000.0,47000.0,0.0,65556.91,-18556.91,65556.91,65014.83,65014.83,65014.83
1 02.220.01.920.00 2020,6112.0,Material oficina,25000.0,25000.0,0.0,26428.13,-1428.13,26428.13,26428.13,26428.13,26428.13
1 02.220.02.332.10 2020,6345.0,Fondos bibliográficos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 02.221.04.132.00 2020,4427.0,Combustible vehiculo,6000.0,6000.0,0.0,6002.39,-2.39,6002.39,6002.39,6002.39,6002.39
1 02.221.04.414.00 2020,6113.0,Gas,1250.0,1250.0,0.0,1302.39,-52.39,1302.39,1302.39,1302.39,1302.39
1 02.221.04.920.00 2020,6114.0,Gas,500.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
1 02.221.05.132.00 2020,5614.0,Uniformes-,8000.0,8000.0,0.0,11410.2,-3410.2,11410.2,7973.8,7973.8,7973.8
1 02.221.05.132.00 2019,6185.0,Uniformes-,0.0,3537.0,0.0,3537.0,0.0,3537.0,3537.0,3537.0,3537.0
1 02.221.05.920.10 2020,4428.0,Vestuario,5000.0,5000.0,0.0,5260.46,-260.46,5260.46,5260.46,5260.46,5260.46
1 02.221.06.323.30 2020,4429.0,Alimentacion,40000.0,40000.0,0.0,20084.1,19915.9,20084.1,20084.1,20084.1,20084.1
1 02.221.08.342.00 2020,4430.0,Productos farmacia,500.0,500.0,0.0,277.19,222.81,277.19,277.19,277.19,277.19
1 02.221.11.136.00 2020,6115.0,Herramientas,900.0,900.0,0.0,254.91,645.09,254.91,254.91,254.91,254.91
1 02.221.11.136.00 2019,6186.0,Herramientas,0.0,685.66,0.0,685.66,0.0,685.66,685.66,685.66,685.66
1 02.221.13.342.00 2020,4431.0,Productos piscina,6000.0,6000.0,0.0,10700.31,-4700.31,10700.31,10700.31,10700.31,10700.31
1 02.221.13.342.01 2020,4432.0,Piscina descubierta.Productos.,7000.0,7000.0,0.0,9819.09,-2819.09,9819.09,9819.09,9819.09,9819.09
1 02.221.14.342.00 2020,4433.0,Tarjetas cursos,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
1 02.221.98.334.10 2020,4435.0,Material Talleres,1500.0,1500.0,0.0,258.64,1241.36,258.64,258.64,258.64,258.64
1 02.221.99.231.03 2020,4436.0,Gastos material,8000.0,8000.0,0.0,7957.49,42.51,7957.49,7957.49,7957.49,7957.49
1 02.221.99.334.10 2020,4437.0,Material Talleres,2000.0,2000.0,0.0,703.5,1296.5,703.5,703.5,703.5,703.5
1 02.222.01.920.00 2020,4438.0,Telefonia,45000.0,45000.0,0.0,33514.48,11485.52,33514.48,33514.48,33514.48,33514.48
1 02.222.02.920.00 2020,4439.0,Servicio postal,65000.0,65000.0,0.0,63659.11,1340.89,63659.11,63659.11,63659.11,63659.11
