#Eko. azpikontzeptua,Deskribapena,Urtea,Programa,Departamentua,Hasierako aurr,Igoerak,Atxekipenak ,Behin bet aurr,Onart. eskubid. gordinak,Eskub. deusezt,Onar esk garbiak
71003,Euskal autonomia erkidegokoak,2018,00000,04,0.0,0.0,0.0,0.0,5108.65,0.0,5108.65
71004,Euskal autonomia erkidegokoak,2018,00000,04,8000.0,0.0,0.0,8000.0,0.0,0.0,0.0
71005,Euskal autonomi erkidegokoakoa,2018,00000,04,30499.0,10962.0,0.0,41461.0,36540.0,0.0,36540.0
71006,Euskal autonomi erkidegokoakoa,2018,00000,04,0.0,0.0,0.0,0.0,2950.2,0.0,2950.2
72002,Lurralde historikokoak,2018,00000,04,855000.0,0.0,0.0,855000.0,858000.0,0.0,858000.0
31101,Establezimenduak irekitzeko lizentzia,2018,15110,04,15300.0,0.0,0.0,15300.0,15542.7,681.5,14861.2
31201,Hirigintzako baimenak ematea,2018,15110,04,102000.0,0.0,0.0,102000.0,112344.37,865.62,111478.75
31005,Ibilgailuak bide publikotik jaso eta kentzea,2018,16400,04,3000.0,0.0,0.0,3000.0,152.11,0.0,152.11
32102,Bide publikoko kioskoak,2018,93300,04,108000.0,0.0,0.0,108000.0,100032.56,0.0,100032.56
42003,,2018,00000,05,15000.0,0.0,0.0,15000.0,3560.61,0.0,3560.61
71001,Administrazio orokorrarenak,2018,00000,05,0.0,0.0,0.0,0.0,4149.64,0.0,4149.64
71101,Erakunde autonomoenak,2018,00000,05,21628.0,0.0,0.0,21628.0,18106.38,0.0,18106.38
72001,Obra eta zerbitzuetako foru plana,2018,00000,05,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0
72002,Lurralde historikokoak,2018,00000,05,15000.0,0.0,0.0,15000.0,0.0,0.0,0.0
72003,Lurralde historikokoak,2018,00000,05,0.0,0.0,0.0,0.0,25536.23,0.0,25536.23
55101,Nekazaritza eta baso aprobetxamenduak,2018,17200,05,60000.0,0.0,0.0,60000.0,10588.8,980.0,9608.8
30001,Salmentak,2018,17210,05,10000.0,0.0,0.0,10000.0,9235.76,0.0,9235.76
41002,Administrazio orokorrarenak,2018,17210,05,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0
31014,Haurtzaindegiak,2018,32300,06,32640.0,0.0,0.0,32640.0,24035.41,192.0,23843.41
31001,Zaborrak eta hiri hondakin solidoak etxez etxe biltzea,2018,33720,06,10200.0,0.0,0.0,10200.0,7864.7,0.0,7864.7
31011,Irakaskuntza bereziak,2018,33720,06,47940.0,0.0,0.0,47940.0,59284.18,689.27,58594.91
42001,Itundutako zergetako partaidetza,2018,33720,06,15000.0,0.0,0.0,15000.0,10615.15,0.0,10615.15
31015,Etxez etxeko laguntza eta bestelako gizarte zerbitzuak,2018,23100,07,600.0,0.0,0.0,600.0,500.0,0.0,500.0
42001,Itundutako zergetako partaidetza,2018,23100,07,195218.0,0.0,0.0,195218.0,197949.9,0.0,197949.9
31012,Laguntza eta egonaldiak etxebizitza eta egoitzetan,2018,23110,07,48000.0,0.0,0.0,48000.0,36785.1,150.96,36634.14
42005,Lurralde historikokoak,2018,23110,07,533886.0,0.0,0.0,533886.0,311638.08,0.0,311638.08
41001,Administrazio orokorrarenak,2018,23130,07,523088.0,0.0,0.0,523088.0,292995.0,0.0,292995.0
34004,Zerbitzu orokorrak,2018,33300,08,1020.0,0.0,0.0,1020.0,1443.12,0.0,1443.12
42002,Lurralde historikokoak,2018,33310,08,15000.0,0.0,0.0,15000.0,11250.0,0.0,11250.0
31011,Irakaskuntza bereziak,2018,33400,08,25500.0,0.0,0.0,25500.0,13800.9,21.6,13779.3
31016,Kultur zerbitzuak,2018,33400,08,15300.0,0.0,0.0,15300.0,17777.32,0.0,17777.32
41001,Administrazio orokorrarenak,2018,33400,08,13500.0,0.0,0.0,13500.0,413.21,0.0,413.21
41002,Administrazio orokorrarenak,2018,33400,08,0.0,0.0,0.0,0.0,9056.25,0.0,9056.25
42001,Itundutako zergetako partaidetza,2018,33400,08,5000.0,0.0,0.0,5000.0,5231.2,0.0,5231.2
42003,,2018,33400,08,0.0,0.0,0.0,0.0,12000.0,0.0,12000.0
42004,,2018,33400,08,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0
42005,Lurralde historikokoak,2018,33400,08,0.0,0.0,0.0,0.0,5000.0,0.0,5000.0
32101,"Energia elektrikoa edo edozein fluido eramateko lineak, hodiak eta galeriak",2018,33800,08,36720.0,0.0,0.0,36720.0,38760.15,0.0,38760.15
31103,Lonjak eta merkatuak,2018,15110,09,91800.0,0.0,0.0,91800.0,66059.56,331.5,65728.06
32101,"Energia elektrikoa edo edozein fluido eramateko lineak, hodiak eta galeriak",2018,15110,09,730000.0,0.0,0.0,730000.0,188032.57,0.0,188032.57
31002,Estolderia zerb. eta azpieg.hidraulikoak finantzatz. kanon. %a,2018,16000,09,1000000.0,0.0,0.0,1000000.0,889075.0,1399.83,887675.17
31009,"Udalaren ur hornik. eta azpieg. hidraul. finantzatzeko kanon. %a,",2018,16100,09,2009400.0,0.0,0.0,2009400.0,1477823.06,7461.66,1470361.4
31001,Zaborrak eta hiri hondakin solidoak etxez etxe biltzea,2018,16210,09,2170000.0,0.0,0.0,2170000.0,2024279.89,9538.28,2014741.61
61501,Altzariena,2018,16210,09,0.0,0.0,0.0,0.0,4800.0,0.0,4800.0
34012,Zerbitzu orokorrak,2018,93300,09,22440.0,0.0,0.0,22440.0,20677.45,89.15,20588.3
42001,Itundutako zergetako partaidetza,2018,33510,10,10000.0,0.0,0.0,10000.0,7204.0,0.0,7204.0
42002,Lurralde historikokoak,2018,33510,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31001,Zaborrak eta hiri hondakin solidoak etxez etxe biltzea,2018,33520,10,45900.0,0.0,0.0,45900.0,14223.71,1552.32,12671.39
41001,Administrazio orokorrarenak,2018,33520,10,380000.0,0.0,0.0,380000.0,361140.51,0.0,361140.51
42001,Itundutako zergetako partaidetza,2018,23190,11,460000.0,0.0,0.0,460000.0,0.0,0.0,0.0
39101,Isunak,2018,00000,12,290000.0,0.0,0.0,290000.0,309065.0,7683.23,301381.77
39102,Isunak,2018,00000,12,10000.0,0.0,0.0,10000.0,13010.38,0.0,13010.38
77101,Beste enpresa batzuenak,2018,00000,12,24630.0,0.0,0.0,24630.0,24630.0,0.0,24630.0
32006,Zerbitzu orokorrak,2018,13310,12,638000.0,0.0,0.0,638000.0,323007.45,900.5,322106.95
31005,Ibilgailuak bide publikotik jaso eta kentzea,2018,13320,12,96900.0,0.0,0.0,96900.0,66564.64,0.0,66564.64
32201,Ibilgailuak espaloietatik edo bide publikoko erreserbetatik zehar sartzea a,2018,15100,12,234600.0,0.0,0.0,234600.0,217636.51,0.0,217636.51
31198,Animaliak bide publikotik kentzea,2018,31100,12,3000.0,0.0,0.0,3000.0,673.53,0.0,673.53
41201,Ente publikoenak,2018,44110,12,18000.0,0.0,0.0,18000.0,0.0,0.0,0.0
31102,Auto-taxientzako lizentziak eta baimenak,2018,44120,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41201,Ente publikoenak,2018,23150,13,4000.0,0.0,0.0,4000.0,4849.45,0.0,4849.45
42101,Mankomunitate eta kontsortzioenak,2018,23150,13,9000.0,0.0,0.0,9000.0,15240.0,216.41,15023.59
42001,Itundutako zergetako partaidetza,2018,32710,14,9000.0,0.0,0.0,9000.0,7789.47,0.0,7789.47
32199,Jarduera ekonomikoari laguntzen edo eragiten dioten bestelako tasak,2018,34000,15,3600.0,0.0,0.0,3600.0,0.0,46.3,-46.3
31010,Udalaren kirol instalazioak,2018,34120,15,42840.0,0.0,0.0,42840.0,40971.0,0.0,40971.0
42001,Itundutako zergetako partaidetza,2018,34130,15,35000.0,0.0,0.0,35000.0,40339.54,0.0,40339.54
54001,Hiri-finken errentamenduaren emaitza,2018,34210,15,157000.0,0.0,0.0,157000.0,84770.28,0.0,84770.28
38001,Itxitako ekitaldiei dagozkienak,2018,00000,17,5000.0,0.0,0.0,5000.0,5937.99,0.0,5937.99
61202,Eraikinea eta bestelako eraikuntzena,2018,00000,17,412604.0,0.0,0.0,412604.0,0.0,0.0,0.0
54001,Hiri-finken errentamenduaren emaitza,2018,93300,17,30000.0,0.0,0.0,30000.0,19290.0,0.0,19290.0
55001,Emakida administratiboak,2018,93300,17,326400.0,0.0,0.0,326400.0,239911.67,100.0,239811.67
55301,Ustiapenak,2018,93300,17,35700.0,0.0,0.0,35700.0,37384.32,0.0,37384.32
71002,Administrazio orokorrenak,2018,33220,18,4000.0,4500.0,0.0,8500.0,8500.0,0.0,8500.0
31113,Iharduera ekonomikoen gainekoak,2018,49200,18,1750.0,0.0,0.0,1750.0,7633.51,0.0,7633.51
71001,Administrazio orokorrarenak,2018,33210,21,21000.0,0.0,0.0,21000.0,0.0,0.0,0.0
