#a,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.121.99.165.00 2018,4289.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KALEKO A,22540.0,22540.0,0.0,35100.93,-12560.93,35100.93,35100.93,35100.93,35100.93,2018,16500,,1,,01
1 01.121.99.172.20 2018,4290.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUGI,39995.0,39995.0,0.0,33086.88,6908.12,33086.88,33086.88,33086.88,33086.88,2018,17220,,1,,01
1 01.121.99.231.00 2018,4293.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BERDINTA,60211.0,60211.0,0.0,52792.69,7418.31,52792.69,52792.69,52792.69,52792.69,2018,23100,,1,,01
1 01.121.99.231.01 2018,4292.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LANKIDET,2122.0,2122.0,0.0,0.0,2122.0,0.0,0.0,0.0,0.0,2018,23101,,1,,01
1 01.121.99.231.03 2018,4869.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA. GAZTERI,20321.0,20321.0,0.0,14037.27,6283.73,14037.27,14037.27,14037.27,14037.27,2018,23103,,1,,01
1 01.121.99.241.00 2018,4294.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TOKI GAR,40643.0,40643.0,0.0,35013.17,5629.83,35013.17,35013.17,35013.17,35013.17,2018,24100,,1,,01
1 01.121.99.323.10 2018,4295.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IKASTETX,78865.0,78865.0,0.0,63618.24,15246.76,63618.24,63618.24,63618.24,63618.24,2018,32310,,1,,01
1 01.121.99.326.01 2018,4297.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.MUSIKA E,238979.0,238979.0,0.0,218418.41,20560.59,218418.41,218418.41,218418.41,218418.41,2018,32601,,1,,01
1 01.121.99.330.00 2018,4298.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTURA,52168.0,52168.0,0.0,41292.44,10875.56,41292.44,41292.44,41292.44,41292.44,2018,33000,,1,,01
1 01.121.99.332.10 2018,4299.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LIBURUTE,91675.0,91675.0,0.0,83895.0,7780.0,83895.0,83895.0,83895.0,83895.0,2018,33210,,1,,01
1 01.121.99.333.00 2018,4300.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTUR E,34796.0,34796.0,0.0,32882.46,1913.54,32882.46,32882.46,32882.46,32882.46,2018,33300,,1,,01
1 01.121.99.335.00 2018,4301.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,81095.0,81095.0,0.0,63714.36,17380.64,63714.36,63714.36,63714.36,63714.36,2018,33500,,1,,01
1 01.121.99.335.10 2018,4302.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKALTE,154385.0,154385.0,0.0,125249.09,29135.91,125249.09,125249.09,125249.09,125249.09,2018,33510,,1,,01
1 01.121.99.335.30 2018,4303.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,18798.0,18798.0,0.0,14770.14,4027.86,14770.14,14770.14,14770.14,14770.14,2018,33530,,1,,01
1 01.121.99.335.40 2018,4304.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UDALEKUA,28400.0,28400.0,0.0,12245.0,16155.0,12245.0,12245.0,12245.0,12245.0,2018,33540,,1,,01
1 01.121.99.342.00 2018,4305.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KIROLDEG,277089.0,277089.0,0.0,243374.55,33714.45,243374.55,243374.55,243374.55,243374.55,2018,34200,,1,,01
1 01.121.99.342.01 2018,4306.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IGERILEK,10408.0,10408.0,0.0,11248.17,-840.17,11248.17,11248.17,11248.17,11248.17,2018,34201,,1,,01
1 01.121.99.414.00 2018,4307.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUNE,18962.0,18962.0,0.0,15154.87,3807.13,15154.87,15154.87,15154.87,15154.87,2018,41400,,1,,01
1 01.121.99.432.00 2018,4308.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TURISMOA,18798.0,18798.0,0.0,14684.83,4113.17,14684.83,14684.83,14684.83,14684.83,2018,43200,,1,,01
1 01.121.99.920.00 2018,4310.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,188187.0,188187.0,0.0,148347.86,39839.14,148347.86,148347.86,148347.86,148347.86,2018,92000,,1,,01
1 01.121.99.920.10 2018,4311.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PERTSONA,67751.0,67751.0,0.0,54249.66,13501.34,54249.66,54249.66,54249.66,54249.66,2018,92010,,1,,01
1 01.121.99.920.11 2018,4312.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LAN SEGU,27165.0,27165.0,0.0,21054.59,6110.41,21054.59,21054.59,21054.59,21054.59,2018,92011,,1,,01
1 01.121.99.920.20 2018,4313.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INFORMAT,45891.0,45891.0,0.0,38657.03,7233.97,38657.03,38657.03,38657.03,38657.03,2018,92020,,1,,01
1 01.121.99.920.30 2018,4314.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ARTXIBOA,21197.0,21197.0,0.0,16654.77,4542.23,16654.77,16654.77,16654.77,16654.77,2018,92030,,1,,01
1 01.121.99.929.10 2018,4315.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BAKE EPA,7066.0,7066.0,0.0,4832.52,2233.48,4832.52,4832.52,4832.52,4832.52,2018,92910,,1,,01
1 01.121.99.931.00 2018,4316.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,160874.0,160874.0,0.0,129985.9,30888.1,129985.9,129985.9,129985.9,129985.9,2018,93100,,1,,01
1 01.121.99.932.00 2018,4317.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BILKETA,88278.0,88278.0,0.0,93481.16,-5203.16,93481.16,93481.16,93481.16,93481.16,2018,93200,,1,,01
1 01.121.99.933.00 2018,4318.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ONDAREA-,67751.0,67751.0,0.0,46800.15,20950.85,46800.15,46800.15,46800.15,46800.15,2018,93300,,1,,01
1 01.131.01.241.00 2018,5824.0,ALDIBATERAKO.SOLDATA.TOKI GARAPENA,0.0,22834.0,0.0,1756.37,21077.63,1756.37,1756.37,1756.37,1756.37,2018,24100,,1,,01
1 01.131.01.241.01 2018,4321.0,ALDIBATERAKO.SOLDATA.IKASTAROAK.,27300.0,27300.0,0.0,15468.03,11831.97,15468.03,15468.03,15468.03,15468.03,2018,24101,,1,,01
1 01.131.01.241.02 2018,4322.0,ALDIBATERAKO.SOLDATA.LANBIDE PROGRAMAK,37500.0,37500.0,0.0,36485.47,1014.53,36485.47,36485.47,36485.47,36485.47,2018,24102,,1,,01
1 01.131.01.324.10 2018,4325.0,ALDIBATERAKO.SOLDATA.HLP PROGRAMAK,115239.0,115239.0,0.0,82766.43,32472.57,82766.43,82766.43,82766.43,82766.43,2018,32410,,1,,01
1 01.131.01.333.00 2018,4326.0,ALDIBATERAKO.SOLDATA.KULTUR ETXEA,2179.0,2179.0,0.0,0.0,2179.0,0.0,0.0,0.0,0.0,2018,33300,,1,,01
1 01.160.01.132.00 2018,4329.0,GIZ.SEGURANTZA.UDALTZAINGOA,326725.0,326725.0,0.0,265456.31,61268.69,265456.31,265456.31,265456.31,265456.31,2018,13200,,1,,01
1 01.160.01.151.00 2018,4330.0,GIZ.SEGURANTZA.HIRIGINTZA,95770.0,95770.0,0.0,68183.89,27586.11,68183.89,68183.89,68183.89,68183.89,2018,15100,,1,,01
1 01.160.01.153.40 2018,4331.0,GIZ.SEGURANTZA.OBRETAKO LANTALDEA,163405.0,163405.0,0.0,108447.64,54957.36,108447.64,108447.64,108447.64,108447.64,2018,15340,,1,,01
1 01.160.01.161.00 2018,4333.0,GIZ.SEGURANTZA.UR HORNIDURA,59854.0,59854.0,0.0,41460.23,18393.77,41460.23,41460.23,41460.23,41460.23,2018,16100,,1,,01
1 01.160.01.164.00 2018,4334.0,GIZARTE SEGUR:HILERRIA,9090.0,9090.0,0.0,6967.26,2122.74,6967.26,6967.26,6967.26,6967.26,2018,16400,,1,,01
1 01.160.01.165.00 2018,4335.0,GIZ.SEGURANTZA.KALEKO ARGIKUNTZA,11505.0,11505.0,0.0,19078.27,-7573.27,19078.27,19078.27,19078.27,19078.27,2018,16500,,1,,01
1 01.160.01.172.20 2018,4336.0,GIZARTE SEGUR:INGURUGIROA,20445.0,20445.0,0.0,16555.6,3889.4,16555.6,16555.6,16555.6,16555.6,2018,17220,,1,,01
1 01.160.01.231.00 2018,4339.0,GIZARTE SEGUR:BERDINTASUNA,30756.0,30756.0,0.0,28633.25,2122.75,28633.25,28633.25,28633.25,28633.25,2018,23100,,1,,01
1 01.160.01.231.01 2018,4338.0,GIZARTE SEGUR:LANKIDETZA,946.0,946.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,2018,23101,,1,,01
1 01.160.01.231.03 2018,4870.0,GIZARTE SEGUR. GAZTERIA,10881.0,10881.0,0.0,7612.54,3268.46,7612.54,7612.54,7612.54,7612.54,2018,23103,,1,,01
1 01.160.01.241.00 2018,4340.0,GIZARTE SEGUR:TOKI GARAPENA,21373.0,32619.0,0.0,23011.18,9607.82,23011.18,23011.18,23011.18,23011.18,2018,24100,,1,,01
1 01.160.01.241.01 2018,4341.0,GIZARTE SEGURANTZA.ENPLEGU IKASTAROAK,8800.0,8800.0,0.0,5521.41,3278.59,5521.41,5521.41,5521.41,5521.41,2018,24101,,1,,01
1 01.160.01.241.02 2018,4342.0,GIZARTE SEGURANTZA.LANBIDE PROGRAMAK,13500.0,13500.0,0.0,12534.68,965.32,12534.68,12534.68,12534.68,12534.68,2018,24102,,1,,01
1 01.160.01.323.10 2018,4344.0,GIZARTE SEGUR:IKASTETXEAK,42061.0,42061.0,0.0,34006.46,8054.54,34006.46,34006.46,34006.46,34006.46,2018,32310,,1,,01
1 01.160.01.324.10 2018,4346.0,GIZARTE SEGUR:HLP programak,38871.0,38871.0,0.0,26931.97,11939.03,26931.97,26931.97,26931.97,26931.97,2018,32410,,1,,01
1 01.160.01.326.01 2018,4347.0,GIZARTE SEGUR:MUSIKA ESKOLA,135946.0,135946.0,0.0,107597.32,28348.68,107597.32,107597.32,107597.32,107597.32,2018,32601,,1,,01
1 01.160.01.330.00 2018,4348.0,GIZARTE SEGUR:KULTURA ZERBITZUA,25982.0,25982.0,0.0,18976.99,7005.01,18976.99,18976.99,18976.99,18976.99,2018,33000,,1,,01
1 01.160.01.332.10 2018,4349.0,GIZARTE SEGUR:LIBURUTEGIA,46740.0,46740.0,0.0,40603.29,6136.71,40603.29,40603.29,40603.29,40603.29,2018,33210,,1,,01
1 01.160.01.333.00 2018,4350.0,GIZARTE SEGUR:KULTUR ETXEA,16850.0,16850.0,0.0,14726.2,2123.8,14726.2,14726.2,14726.2,14726.2,2018,33300,,1,,01
1 01.160.01.335.00 2018,4351.0,GIZARTE SEGUR:EUSKARA ZERBITZUA,39879.0,39879.0,0.0,33434.8,6444.2,33434.8,33434.8,33434.8,33434.8,2018,33500,,1,,01
1 01.160.01.335.10 2018,4352.0,GIZARTE SEGUR:EUSKALTEGIA,87759.0,87759.0,0.0,73699.56,14059.44,73699.56,73699.56,73699.56,73699.56,2018,33510,,1,,01
1 01.160.01.335.30 2018,4353.0,GIZARTE SEGUR:EUSKARA PLANA,10136.0,10136.0,0.0,8477.07,1658.93,8477.07,8477.07,8477.07,8477.07,2018,33530,,1,,01
1 01.160.01.335.40 2018,4354.0,GIZARTE SEGUR:UDALEKUAK,12764.0,12764.0,0.0,17922.57,-5158.57,17922.57,17922.57,17922.57,17922.57,2018,33540,,1,,01
1 01.160.01.342.00 2018,4355.0,GIZ.SEG+OLAZ:KIROLDEGIA,127854.0,127854.0,0.0,90897.2,36956.8,90897.2,90897.2,90897.2,90897.2,2018,34200,,1,,01
1 01.160.01.342.01 2018,4356.0,GIZARTE SEGUR:IGERILEKUAK,4661.0,4661.0,0.0,6304.16,-1643.16,6304.16,6304.16,6304.16,6304.16,2018,34201,,1,,01
1 01.160.01.414.00 2018,4357.0,GIZARTE SEGUR:INGURUNEAREN HOBEKUNTZA,9312.0,9312.0,0.0,7078.71,2233.29,7078.71,7078.71,7078.71,7078.71,2018,41400,,1,,01
1 01.160.01.432.00 2018,4358.0,GIZARTE SEGUR:TURISMOA,9533.0,9533.0,0.0,8097.59,1435.41,8097.59,8097.59,8097.59,8097.59,2018,43200,,1,,01
1 01.160.01.912.00 2018,4359.0,GIZARTE SEGUR:GOBERNU ORGANOAK,67061.0,67061.0,0.0,51996.01,15064.99,51996.01,51996.01,51996.01,51996.01,2018,91200,,1,,01
1 01.160.01.920.00 2018,4360.0,GIZ.SEGURANTZA.ADMINISTRAZIO OROKORRA,97427.0,97427.0,0.0,69392.27,28034.73,69392.27,69392.27,69392.27,69392.27,2018,92000,,1,,01
1 01.160.01.920.10 2018,4361.0,GIZ.SEGURANTZA.PERTSONALA,32010.0,32010.0,0.0,26587.37,5422.63,26587.37,26587.37,26587.37,26587.37,2018,92010,,1,,01
1 01.160.01.920.11 2018,4362.0,GIZARTE SEGURANTZA.LAN SEGURTASUNA-OSASU,11636.0,11636.0,0.0,9737.57,1898.43,9737.57,9737.57,9737.57,9737.57,2018,92011,,1,,01
1 01.160.01.920.20 2018,4363.0,GIZARTE SEGUR:INFORMATIKA,21191.0,21191.0,0.0,18702.3,2488.7,18702.3,18702.3,18702.3,18702.3,2018,92020,,1,,01
1 01.160.01.920.30 2018,4364.0,GIZARTE SEGUR:ARTXIBOA,10550.0,10550.0,0.0,8830.6,1719.4,8830.6,8830.6,8830.6,8830.6,2018,92030,,1,,01
1 01.160.01.929.10 2018,4365.0,GIZARTE SEGUR:BAKE EPITEGIA,3517.0,3517.0,0.0,2511.68,1005.32,2511.68,2511.68,2511.68,2511.68,2018,92910,,1,,01
1 01.160.01.931.00 2018,4366.0,GIZ.SEGURANTZA.ADMINISTRAZIO EKONOMIKOA,71307.0,71307.0,0.0,56318.37,14988.63,56318.37,56318.37,56318.37,56318.37,2018,93100,,1,,01
1 01.160.01.932.00 2018,4367.0,GIZ.SEGURANTZA.BILKETA,39785.0,39785.0,0.0,39763.8,21.2,39763.8,39763.8,39763.8,39763.8,2018,93200,,1,,01
1 01.160.01.933.00 2018,4368.0,GIZARTE SEGUR:ONDAREA ETA KONTRATAZIOA,32861.0,32861.0,0.0,23553.84,9307.16,23553.84,23553.84,23553.84,23553.84,2018,93300,,1,,01
1 01.160.04.132.00 2018,4369.0,ELKARKIDETZA:UDALTZAINGOA,14763.0,14763.0,0.0,13629.52,1133.48,13629.52,13629.52,13629.52,13629.52,2018,13200,,1,,01
1 01.160.04.151.00 2018,4370.0,ELKARKIDETZA:HIRIGINTZA,5954.0,5954.0,0.0,2026.31,3927.69,2026.31,2026.31,2026.31,2026.31,2018,15100,,1,,01
1 01.160.04.153.40 2018,4371.0,ELKARKIDETZA:OBRETAKO LANTALDEA,12993.0,12993.0,0.0,8418.27,4574.73,8418.27,8418.27,8418.27,8418.27,2018,15340,,1,,01
1 01.160.04.161.00 2018,4373.0,ELKARKIDETZA:UR HORNIDURA,2869.0,2869.0,0.0,2081.7,787.3,2081.7,2081.7,2081.7,2081.7,2018,16100,,1,,01
1 01.160.04.164.00 2018,4374.0,ELKARKIDETZA:HILERRIA,956.0,956.0,0.0,763.29,192.71,763.29,763.29,763.29,763.29,2018,16400,,1,,01
1 01.160.04.165.00 2018,5823.0,ELKARKIDETZA: ARGIA,0.0,0.0,0.0,902.07,-902.07,902.07,902.07,902.07,902.07,2018,16500,,1,,01
1 01.160.04.172.20 2018,4376.0,ELKARKIDETZA:INGURUGIROA,1708.0,1708.0,0.0,1363.12,344.88,1363.12,1363.12,1363.12,1363.12,2018,17220,,1,,01
1 01.160.04.231.00 2018,4378.0,ELKARKIDETZA:BERDINTASUNA,3933.0,3933.0,0.0,2835.91,1097.09,2835.91,2835.91,2835.91,2835.91,2018,23100,,1,,01
1 01.160.04.231.03 2018,5610.0,ELKARKIDETZA:PARKEAK ETA LORATEGIAK,1394.0,1394.0,0.0,0.0,1394.0,0.0,0.0,0.0,0.0,2018,23103,,1,,01
1 01.160.04.241.00 2018,4379.0,ELKARKIDETZA:TOKI GARAPENA,1394.0,1394.0,0.0,1113.2,280.8,1113.2,1113.2,1113.2,1113.2,2018,24100,,1,,01
1 01.160.04.323.10 2018,4380.0,ELKARKIDETZA:IKASTETXEAK,3825.0,3825.0,0.0,3053.16,771.84,3053.16,3053.16,3053.16,3053.16,2018,32310,,1,,01
1 01.160.04.326.01 2018,4382.0,ELKARKIDETZA:MUSIKA ESKOLA,10398.0,10398.0,0.0,8062.45,2335.55,8062.45,8062.45,8062.45,8062.45,2018,32601,,1,,01
1 01.160.04.332.10 2018,4384.0,ELKARKIDETZA:LIBURUTEGIA,6220.0,6220.0,0.0,4965.73,1254.27,4965.73,4965.73,4965.73,4965.73,2018,33210,,1,,01
1 01.160.04.333.00 2018,4385.0,ELKARKIDETZA:KULTUR ETXEA,956.0,956.0,0.0,763.29,192.71,763.29,763.29,763.29,763.29,2018,33300,,1,,01
1 01.160.04.335.00 2018,4386.0,ELKARKIDETZA:EUSKARA ZERBITZUA,3933.0,3933.0,0.0,4252.71,-319.71,4252.71,4252.71,4252.71,4252.71,2018,33500,,1,,01
1 01.160.04.335.10 2018,4387.0,ELKARKIDETZA:EUSKALTEGIA,10717.0,10717.0,0.0,8705.51,2011.49,8705.51,8705.51,8705.51,8705.51,2018,33510,,1,,01
1 01.160.04.335.30 2018,4388.0,ELKARKIDETZA:EUSKARA PLANA,1394.0,1394.0,0.0,1113.2,280.8,1113.2,1113.2,1113.2,1113.2,2018,33530,,1,,01
1 01.160.04.342.00 2018,4389.0,ELKARKIDETZA:KIROLDEGIA,12395.0,12395.0,0.0,10044.76,2350.24,10044.76,10044.76,10044.76,10044.76,2018,34200,,1,,01
